GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
0500000US01001,01001,"Autauga County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,82,713,3294
0500000US01003,01003,"Baldwin County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,9,90,1116,4762
0500000US01005,01005,"Barbour County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,4,111,954,4085
0500000US01007,01007,"Bibb County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01009,01009,"Blount County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01015,01015,"Calhoun County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01021,01021,"Chilton County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01023,01023,"Choctaw County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,4,14,124,404
0500000US01025,01025,"Clarke County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,53,514,1535
0500000US01033,01033,"Colbert County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,5,129,1506,6390
0500000US01035,01035,"Conecuh County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01039,01039,"Covington County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01041,01041,"Crenshaw County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01043,01043,"Cullman County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01047,01047,"Dallas County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01049,01049,"DeKalb County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01051,01051,"Elmore County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01053,01053,"Escambia County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,7,212,2227,10170
0500000US01055,01055,"Etowah County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01057,01057,"Fayette County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,5,48,1249,2947
0500000US01059,01059,"Franklin County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,40,383,1807
0500000US01065,01065,"Hale County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01067,01067,"Henry County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01071,01071,"Jackson County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,,,
0500000US01073,01073,"Jefferson County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,29,1570,33803,129230
0500000US01075,01075,"Lamar County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01079,01079,"Lawrence County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01081,01081,"Lee County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,49,675,3065
0500000US01083,01083,"Limestone County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01085,01085,"Lowndes County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01087,01087,"Macon County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01089,01089,"Madison County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01093,01093,"Marion County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01095,01095,"Marshall County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01097,01097,"Mobile County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,17,226,5374,19223
0500000US01099,01099,"Monroe County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01101,01101,"Montgomery County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01103,01103,"Morgan County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,5,43,1076,2937
0500000US01107,01107,"Pickens County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01111,01111,"Randolph County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01113,01113,"Russell County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US01115,01115,"St. Clair County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01117,01117,"Shelby County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,14,347,5685,24374
0500000US01119,01119,"Sumter County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01121,01121,"Talladega County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,4,,,
0500000US01123,01123,"Tallapoosa County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US01125,01125,"Tuscaloosa County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,31,2250,53237,182793
0500000US01127,01127,"Walker County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,15,659,9629,37838
0500000US01133,01133,"Winston County, Alabama",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US02016,02016,"Aleutians West Census Area, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US02020,02020,"Anchorage Municipality, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,65,7362,276088,962365
0500000US02050,02050,"Bethel Census Area, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US02068,02068,"Denali Borough, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US02070,02070,"Dillingham Census Area, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,24,1004,25668,97105
0500000US02100,02100,"Haines Borough, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,4,27,579
0500000US02110,02110,"Juneau City and Borough, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,8,,,
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,23,810,28472,123358
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,,,
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,14,,,
0500000US02180,02180,"Nome Census Area, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,5,70,1250,5830
0500000US02185,02185,"North Slope Borough, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,4,,,
0500000US02188,02188,"Northwest Arctic Borough, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,7,,,
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",,21,"Mining, quarrying, and oil and gas extraction",,2015,7,20,137,1740
0500000US04001,04001,"Apache County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,7,99,1470,5298
0500000US04003,04003,"Cochise County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,11,66,744,2943
0500000US04005,04005,"Coconino County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,6,18,373,1212
0500000US04007,04007,"Gila County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,12,1978,46384,188530
0500000US04009,04009,"Graham County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US04011,04011,"Greenlee County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US04012,04012,"La Paz County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,5,34,540,2009
0500000US04013,04013,"Maricopa County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,78,799,10627,48570
0500000US04015,04015,"Mohave County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,10,137,1722,4863
0500000US04017,04017,"Navajo County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,11,544,13439,45957
0500000US04019,04019,"Pima County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,36,2578,49608,165655
0500000US04021,04021,"Pinal County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,23,1010,20848,82517
0500000US04023,04023,"Santa Cruz County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US04025,04025,"Yavapai County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,20,1183,22566,74867
0500000US04027,04027,"Yuma County, Arizona",,21,"Mining, quarrying, and oil and gas extraction",,2015,9,55,441,1850
0500000US05005,05005,"Baxter County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,40,335,1917
0500000US05007,05007,"Benton County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,4,154,1957,8348
0500000US05011,05011,"Bradley County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05013,05013,"Calhoun County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05015,05015,"Carroll County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05023,05023,"Cleburne County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,12,119,1217,4086
0500000US05027,05027,"Columbia County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,20,335,5286,20721
0500000US05029,05029,"Conway County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,14,143,2408,7882
0500000US05031,05031,"Craighead County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US05033,05033,"Crawford County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,10,71,1478,5074
0500000US05035,05035,"Crittenden County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05045,05045,"Faulkner County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,43,1460,33787,104301
0500000US05047,05047,"Franklin County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,9,160,2594,8044
0500000US05049,05049,"Fulton County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05051,05051,"Garland County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,9,63,499,2112
0500000US05055,05055,"Greene County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US05059,05059,"Hot Spring County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US05061,05061,"Howard County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05063,05063,"Independence County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,7,79,700,3267
0500000US05065,05065,"Izard County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,4,,,
0500000US05067,05067,"Jackson County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05073,05073,"Lafayette County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,5,20,175,727
0500000US05075,05075,"Lawrence County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,27,293,1195
0500000US05079,05079,"Lincoln County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05081,05081,"Little River County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05083,05083,"Logan County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,13,101,2764,7791
0500000US05085,05085,"Lonoke County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,122,1478,5147
0500000US05089,05089,"Marion County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05091,05091,"Miller County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,7,40,445,2089
0500000US05097,05097,"Montgomery County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,31,333,1476
0500000US05099,05099,"Nevada County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05103,05103,"Ouachita County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,14,89,766,4160
0500000US05105,05105,"Perry County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US05107,05107,"Phillips County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05109,05109,"Pike County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05111,05111,"Poinsett County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05113,05113,"Polk County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,39,484,2091
0500000US05115,05115,"Pope County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,7,103,1525,7074
0500000US05117,05117,"Prairie County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05119,05119,"Pulaski County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,14,503,7346,29184
0500000US05121,05121,"Randolph County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,3,20,161,723
0500000US05123,05123,"St. Francis County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05125,05125,"Saline County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,5,19,267,1204
0500000US05127,05127,"Scott County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,2,,,
0500000US05131,05131,"Sebastian County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,44,665,9145,35407
0500000US05133,05133,"Sevier County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05135,05135,"Sharp County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05139,05139,"Union County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,58,379,5100,20261
0500000US05141,05141,"Van Buren County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,7,,,
0500000US05143,05143,"Washington County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,6,39,358,1498
0500000US05145,05145,"White County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,21,461,10810,31211
0500000US05147,05147,"Woodruff County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US05149,05149,"Yell County, Arkansas",,21,"Mining, quarrying, and oil and gas extraction",,2015,1,,,
0500000US06001,06001,"Alameda County, California",,21,"Mining, quarrying, and oil and gas extraction",,2015,10,219,5789,23142
