GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
0500000US01001,01001,"Autauga County, Alabama",,44-45,Retail trade,,2015,169,2631,14905,61502
0500000US01003,01003,"Baldwin County, Alabama",,44-45,Retail trade,,2015,986,13794,80162,338042
0500000US01005,01005,"Barbour County, Alabama",,44-45,Retail trade,,2015,83,856,4529,18962
0500000US01007,01007,"Bibb County, Alabama",,44-45,Retail trade,,2015,48,498,3130,12605
0500000US01009,01009,"Blount County, Alabama",,44-45,Retail trade,,2015,123,1221,7476,31439
0500000US01011,01011,"Bullock County, Alabama",,44-45,Retail trade,,2015,20,239,1230,5299
0500000US01013,01013,"Butler County, Alabama",,44-45,Retail trade,,2015,99,951,5189,21230
0500000US01015,01015,"Calhoun County, Alabama",,44-45,Retail trade,,2015,477,6355,37348,151185
0500000US01017,01017,"Chambers County, Alabama",,44-45,Retail trade,,2015,113,1109,6035,25154
0500000US01019,01019,"Cherokee County, Alabama",,44-45,Retail trade,,2015,82,922,5146,21597
0500000US01021,01021,"Chilton County, Alabama",,44-45,Retail trade,,2015,140,1474,9272,37902
0500000US01023,01023,"Choctaw County, Alabama",,44-45,Retail trade,,2015,53,349,1739,7383
0500000US01025,01025,"Clarke County, Alabama",,44-45,Retail trade,,2015,130,1601,9192,37067
0500000US01027,01027,"Clay County, Alabama",,44-45,Retail trade,,2015,39,295,1326,5422
0500000US01029,01029,"Cleburne County, Alabama",,44-45,Retail trade,,2015,33,266,1969,8647
0500000US01031,01031,"Coffee County, Alabama",,44-45,Retail trade,,2015,185,2331,15674,65329
0500000US01033,01033,"Colbert County, Alabama",,44-45,Retail trade,,2015,234,2926,18930,80965
0500000US01035,01035,"Conecuh County, Alabama",,44-45,Retail trade,,2015,37,277,1338,5631
0500000US01037,01037,"Coosa County, Alabama",,44-45,Retail trade,,2015,18,103,459,1824
0500000US01039,01039,"Covington County, Alabama",,44-45,Retail trade,,2015,189,1846,10158,42760
0500000US01041,01041,"Crenshaw County, Alabama",,44-45,Retail trade,,2015,36,267,1347,5625
0500000US01043,01043,"Cullman County, Alabama",,44-45,Retail trade,,2015,323,3657,21486,92791
0500000US01045,01045,"Dale County, Alabama",,44-45,Retail trade,,2015,140,1242,7095,29102
0500000US01047,01047,"Dallas County, Alabama",,44-45,Retail trade,,2015,171,1658,9579,38520
0500000US01049,01049,"DeKalb County, Alabama",,44-45,Retail trade,,2015,239,2351,13908,61032
0500000US01051,01051,"Elmore County, Alabama",,44-45,Retail trade,,2015,206,2942,17333,70290
0500000US01053,01053,"Escambia County, Alabama",,44-45,Retail trade,,2015,164,1717,10984,41625
0500000US01055,01055,"Etowah County, Alabama",,44-45,Retail trade,,2015,405,4704,25742,110193
0500000US01057,01057,"Fayette County, Alabama",,44-45,Retail trade,,2015,63,598,3459,14110
0500000US01059,01059,"Franklin County, Alabama",,44-45,Retail trade,,2015,98,1044,8379,30207
0500000US01061,01061,"Geneva County, Alabama",,44-45,Retail trade,,2015,91,797,3864,16084
0500000US01063,01063,"Greene County, Alabama",,44-45,Retail trade,,2015,28,167,749,3084
0500000US01065,01065,"Hale County, Alabama",,44-45,Retail trade,,2015,41,273,1604,6673
0500000US01067,01067,"Henry County, Alabama",,44-45,Retail trade,,2015,58,342,1811,7366
0500000US01069,01069,"Houston County, Alabama",,44-45,Retail trade,,2015,548,7868,48626,200706
0500000US01071,01071,"Jackson County, Alabama",,44-45,Retail trade,,2015,179,1890,10937,44405
0500000US01073,01073,"Jefferson County, Alabama",,44-45,Retail trade,,2015,2738,40278,256862,1059155
0500000US01075,01075,"Lamar County, Alabama",,44-45,Retail trade,,2015,48,304,1812,7605
0500000US01077,01077,"Lauderdale County, Alabama",,44-45,Retail trade,,2015,431,5683,31030,126876
0500000US01079,01079,"Lawrence County, Alabama",,44-45,Retail trade,,2015,82,774,4369,18275
0500000US01081,01081,"Lee County, Alabama",,44-45,Retail trade,,2015,492,6957,39687,163116
0500000US01083,01083,"Limestone County, Alabama",,44-45,Retail trade,,2015,269,2784,17739,72713
0500000US01085,01085,"Lowndes County, Alabama",,44-45,Retail trade,,2015,22,174,827,3355
0500000US01087,01087,"Macon County, Alabama",,44-45,Retail trade,,2015,48,429,1958,8458
0500000US01089,01089,"Madison County, Alabama",,44-45,Retail trade,,2015,1327,20081,123015,509540
0500000US01091,01091,"Marengo County, Alabama",,44-45,Retail trade,,2015,101,905,5193,21630
0500000US01093,01093,"Marion County, Alabama",,44-45,Retail trade,,2015,102,1090,6158,25344
0500000US01095,01095,"Marshall County, Alabama",,44-45,Retail trade,,2015,408,4718,28286,119209
0500000US01097,01097,"Mobile County, Alabama",,44-45,Retail trade,,2015,1483,20827,128836,533641
0500000US01099,01099,"Monroe County, Alabama",,44-45,Retail trade,,2015,90,892,4709,19078
0500000US01101,01101,"Montgomery County, Alabama",,44-45,Retail trade,,2015,910,12822,78308,327419
0500000US01103,01103,"Morgan County, Alabama",,44-45,Retail trade,,2015,472,5610,33916,143210
0500000US01105,01105,"Perry County, Alabama",,44-45,Retail trade,,2015,29,196,942,3791
0500000US01107,01107,"Pickens County, Alabama",,44-45,Retail trade,,2015,54,381,2066,9128
