GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
0500000US01001,01001,"Autauga County, Alabama",,48-49,Transportation and warehousing,,2015,16,124,1229,5128
0500000US01003,01003,"Baldwin County, Alabama",,48-49,Transportation and warehousing,,2015,134,1003,9311,40001
0500000US01005,01005,"Barbour County, Alabama",,48-49,Transportation and warehousing,,2015,25,1021,11742,47413
0500000US01007,01007,"Bibb County, Alabama",,48-49,Transportation and warehousing,,2015,13,106,1007,4479
0500000US01009,01009,"Blount County, Alabama",,48-49,Transportation and warehousing,,2015,37,181,1503,7051
0500000US01011,01011,"Bullock County, Alabama",,48-49,Transportation and warehousing,,2015,2,,,
0500000US01013,01013,"Butler County, Alabama",,48-49,Transportation and warehousing,,2015,5,374,3041,14455
0500000US01015,01015,"Calhoun County, Alabama",,48-49,Transportation and warehousing,,2015,67,886,8056,35388
0500000US01017,01017,"Chambers County, Alabama",,48-49,Transportation and warehousing,,2015,12,197,1969,8092
0500000US01019,01019,"Cherokee County, Alabama",,48-49,Transportation and warehousing,,2015,13,90,682,2942
0500000US01021,01021,"Chilton County, Alabama",,48-49,Transportation and warehousing,,2015,34,190,1381,6129
0500000US01023,01023,"Choctaw County, Alabama",,48-49,Transportation and warehousing,,2015,14,76,706,3362
0500000US01025,01025,"Clarke County, Alabama",,48-49,Transportation and warehousing,,2015,30,170,1836,7755
0500000US01027,01027,"Clay County, Alabama",,48-49,Transportation and warehousing,,2015,12,116,911,3323
0500000US01029,01029,"Cleburne County, Alabama",,48-49,Transportation and warehousing,,2015,8,12,145,704
0500000US01031,01031,"Coffee County, Alabama",,48-49,Transportation and warehousing,,2015,22,148,1532,5873
0500000US01033,01033,"Colbert County, Alabama",,48-49,Transportation and warehousing,,2015,33,439,4426,18476
0500000US01035,01035,"Conecuh County, Alabama",,48-49,Transportation and warehousing,,2015,18,330,3090,12753
0500000US01037,01037,"Coosa County, Alabama",,48-49,Transportation and warehousing,,2015,5,9,108,479
0500000US01039,01039,"Covington County, Alabama",,48-49,Transportation and warehousing,,2015,26,306,2605,11795
0500000US01041,01041,"Crenshaw County, Alabama",,48-49,Transportation and warehousing,,2015,17,102,771,3586
0500000US01043,01043,"Cullman County, Alabama",,48-49,Transportation and warehousing,,2015,81,1737,20336,80401
0500000US01045,01045,"Dale County, Alabama",,48-49,Transportation and warehousing,,2015,27,,,
0500000US01047,01047,"Dallas County, Alabama",,48-49,Transportation and warehousing,,2015,14,98,639,2847
0500000US01049,01049,"DeKalb County, Alabama",,48-49,Transportation and warehousing,,2015,35,636,5297,24166
0500000US01051,01051,"Elmore County, Alabama",,48-49,Transportation and warehousing,,2015,23,125,1200,5518
0500000US01053,01053,"Escambia County, Alabama",,48-49,Transportation and warehousing,,2015,23,440,5140,21425
0500000US01055,01055,"Etowah County, Alabama",,48-49,Transportation and warehousing,,2015,44,877,7953,33869
0500000US01057,01057,"Fayette County, Alabama",,48-49,Transportation and warehousing,,2015,20,73,525,2290
0500000US01059,01059,"Franklin County, Alabama",,48-49,Transportation and warehousing,,2015,21,160,1221,6267
0500000US01061,01061,"Geneva County, Alabama",,48-49,Transportation and warehousing,,2015,33,215,1464,6137
0500000US01063,01063,"Greene County, Alabama",,48-49,Transportation and warehousing,,2015,5,11,150,588
0500000US01065,01065,"Hale County, Alabama",,48-49,Transportation and warehousing,,2015,13,36,394,1635
0500000US01067,01067,"Henry County, Alabama",,48-49,Transportation and warehousing,,2015,21,361,3390,14647
0500000US01069,01069,"Houston County, Alabama",,48-49,Transportation and warehousing,,2015,84,1348,13117,56896
0500000US01071,01071,"Jackson County, Alabama",,48-49,Transportation and warehousing,,2015,33,221,1713,7650
0500000US01073,01073,"Jefferson County, Alabama",,48-49,Transportation and warehousing,,2015,376,11826,129789,524891
0500000US01075,01075,"Lamar County, Alabama",,48-49,Transportation and warehousing,,2015,20,258,2038,8822
0500000US01077,01077,"Lauderdale County, Alabama",,48-49,Transportation and warehousing,,2015,24,230,1411,7935
0500000US01079,01079,"Lawrence County, Alabama",,48-49,Transportation and warehousing,,2015,13,53,364,1715
0500000US01081,01081,"Lee County, Alabama",,48-49,Transportation and warehousing,,2015,60,2106,20188,83113
0500000US01083,01083,"Limestone County, Alabama",,48-49,Transportation and warehousing,,2015,29,937,9741,42227
0500000US01085,01085,"Lowndes County, Alabama",,48-49,Transportation and warehousing,,2015,7,97,735,2978
0500000US01087,01087,"Macon County, Alabama",,48-49,Transportation and warehousing,,2015,7,38,281,1166
0500000US01089,01089,"Madison County, Alabama",,48-49,Transportation and warehousing,,2015,153,2862,31742,124424
0500000US01091,01091,"Marengo County, Alabama",,48-49,Transportation and warehousing,,2015,23,216,2353,9366
0500000US01093,01093,"Marion County, Alabama",,48-49,Transportation and warehousing,,2015,34,466,3963,16224
0500000US01095,01095,"Marshall County, Alabama",,48-49,Transportation and warehousing,,2015,71,711,6739,29689
0500000US01097,01097,"Mobile County, Alabama",,48-49,Transportation and warehousing,,2015,325,6952,77204,327835
0500000US01099,01099,"Monroe County, Alabama",,48-49,Transportation and warehousing,,2015,18,713,6455,27551
0500000US01101,01101,"Montgomery County, Alabama",,48-49,Transportation and warehousing,,2015,132,3825,35894,149934
0500000US01103,01103,"Morgan County, Alabama",,48-49,Transportation and warehousing,,2015,79,1262,15107,60424
0500000US01105,01105,"Perry County, Alabama",,48-49,Transportation and warehousing,,2015,4,24,196,962
