GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
0500000US01001,01001,"Autauga County, Alabama",,42,Wholesale trade,,2015,29,211,2034,11071
0500000US01003,01003,"Baldwin County, Alabama",,42,Wholesale trade,,2015,226,2173,27270,112494
0500000US01005,01005,"Barbour County, Alabama",,42,Wholesale trade,,2015,17,140,953,4139
0500000US01007,01007,"Bibb County, Alabama",,42,Wholesale trade,,2015,17,86,1048,4362
0500000US01009,01009,"Blount County, Alabama",,42,Wholesale trade,,2015,41,350,3312,14869
0500000US01011,01011,"Bullock County, Alabama",,42,Wholesale trade,,2015,4,5,21,141
0500000US01013,01013,"Butler County, Alabama",,42,Wholesale trade,,2015,16,63,501,3002
0500000US01015,01015,"Calhoun County, Alabama",,42,Wholesale trade,,2015,98,2133,22126,82339
0500000US01017,01017,"Chambers County, Alabama",,42,Wholesale trade,,2015,14,114,1117,5199
0500000US01019,01019,"Cherokee County, Alabama",,42,Wholesale trade,,2015,16,73,848,3305
0500000US01021,01021,"Chilton County, Alabama",,42,Wholesale trade,,2015,26,306,3394,14994
0500000US01023,01023,"Choctaw County, Alabama",,42,Wholesale trade,,2015,6,42,292,1266
0500000US01025,01025,"Clarke County, Alabama",,42,Wholesale trade,,2015,14,190,1830,6895
0500000US01027,01027,"Clay County, Alabama",,42,Wholesale trade,,2015,3,23,177,721
0500000US01029,01029,"Cleburne County, Alabama",,42,Wholesale trade,,2015,6,29,230,910
0500000US01031,01031,"Coffee County, Alabama",,42,Wholesale trade,,2015,29,294,3418,12987
0500000US01033,01033,"Colbert County, Alabama",,42,Wholesale trade,,2015,76,761,8891,36680
0500000US01035,01035,"Conecuh County, Alabama",,42,Wholesale trade,,2015,6,402,2873,12970
0500000US01037,01037,"Coosa County, Alabama",,42,Wholesale trade,,2015,5,33,278,1446
0500000US01039,01039,"Covington County, Alabama",,42,Wholesale trade,,2015,37,509,4096,17227
0500000US01041,01041,"Crenshaw County, Alabama",,42,Wholesale trade,,2015,12,417,3877,17340
0500000US01043,01043,"Cullman County, Alabama",,42,Wholesale trade,,2015,103,1074,11767,50847
0500000US01045,01045,"Dale County, Alabama",,42,Wholesale trade,,2015,20,190,1372,5874
0500000US01047,01047,"Dallas County, Alabama",,42,Wholesale trade,,2015,28,268,3232,11549
0500000US01049,01049,"DeKalb County, Alabama",,42,Wholesale trade,,2015,49,512,4900,20424
0500000US01051,01051,"Elmore County, Alabama",,42,Wholesale trade,,2015,42,311,2971,13000
0500000US01053,01053,"Escambia County, Alabama",,42,Wholesale trade,,2015,26,149,2362,7834
0500000US01055,01055,"Etowah County, Alabama",,42,Wholesale trade,,2015,86,975,9191,38675
0500000US01057,01057,"Fayette County, Alabama",,42,Wholesale trade,,2015,9,35,350,1537
0500000US01059,01059,"Franklin County, Alabama",,42,Wholesale trade,,2015,21,108,730,3316
0500000US01061,01061,"Geneva County, Alabama",,42,Wholesale trade,,2015,21,440,6837,28846
0500000US01063,01063,"Greene County, Alabama",,42,Wholesale trade,,2015,1,,,
0500000US01065,01065,"Hale County, Alabama",,42,Wholesale trade,,2015,9,26,260,1625
0500000US01067,01067,"Henry County, Alabama",,42,Wholesale trade,,2015,9,112,1154,4379
0500000US01069,01069,"Houston County, Alabama",,42,Wholesale trade,,2015,180,3036,36264,149300
0500000US01071,01071,"Jackson County, Alabama",,42,Wholesale trade,,2015,30,572,4568,20751
0500000US01073,01073,"Jefferson County, Alabama",,42,Wholesale trade,,2015,1102,16452,250116,1096876
0500000US01075,01075,"Lamar County, Alabama",,42,Wholesale trade,,2015,8,28,404,1835
0500000US01077,01077,"Lauderdale County, Alabama",,42,Wholesale trade,,2015,79,1002,10413,41760
0500000US01079,01079,"Lawrence County, Alabama",,42,Wholesale trade,,2015,12,77,507,2090
0500000US01081,01081,"Lee County, Alabama",,42,Wholesale trade,,2015,86,793,8875,34714
0500000US01083,01083,"Limestone County, Alabama",,42,Wholesale trade,,2015,45,569,6418,24747
0500000US01085,01085,"Lowndes County, Alabama",,42,Wholesale trade,,2015,2,,,
0500000US01087,01087,"Macon County, Alabama",,42,Wholesale trade,,2015,6,18,250,676
0500000US01089,01089,"Madison County, Alabama",,42,Wholesale trade,,2015,380,5104,85480,318930
0500000US01091,01091,"Marengo County, Alabama",,42,Wholesale trade,,2015,19,107,985,4174
0500000US01093,01093,"Marion County, Alabama",,42,Wholesale trade,,2015,23,174,1507,7482
0500000US01095,01095,"Marshall County, Alabama",,42,Wholesale trade,,2015,91,1350,13251,55782
0500000US01097,01097,"Mobile County, Alabama",,42,Wholesale trade,,2015,566,7125,88395,368584
0500000US01099,01099,"Monroe County, Alabama",,42,Wholesale trade,,2015,20,175,2531,9781
0500000US01101,01101,"Montgomery County, Alabama",,42,Wholesale trade,,2015,325,6850,85846,354548
0500000US01103,01103,"Morgan County, Alabama",,42,Wholesale trade,,2015,168,1947,22905,96956
0500000US01105,01105,"Perry County, Alabama",,42,Wholesale trade,,2015,5,47,330,1379
0500000US01107,01107,"Pickens County, Alabama",,42,Wholesale trade,,2015,10,59,377,1536
0500000US01109,01109,"Pike County, Alabama",,42,Wholesale trade,,2015,33,480,4497,18730
0500000US01111,01111,"Randolph County, Alabama",,42,Wholesale trade,,2015,9,44,327,1685
0500000US01113,01113,"Russell County, Alabama",,42,Wholesale trade,,2015,14,260,2761,6396
0500000US01115,01115,"St. Clair County, Alabama",,42,Wholesale trade,,2015,79,1237,12689,54876
0500000US01117,01117,"Shelby County, Alabama",,42,Wholesale trade,,2015,459,6061,131047,406722
0500000US01119,01119,"Sumter County, Alabama",,42,Wholesale trade,,2015,11,154,1142,5669
0500000US01121,01121,"Talladega County, Alabama",,42,Wholesale trade,,2015,50,560,5423,24915
0500000US01123,01123,"Tallapoosa County, Alabama",,42,Wholesale trade,,2015,16,136,1529,5357
0500000US01125,01125,"Tuscaloosa County, Alabama",,42,Wholesale trade,,2015,165,2092,25231,105233
0500000US01127,01127,"Walker County, Alabama",,42,Wholesale trade,,2015,45,453,4894,19194
0500000US01129,01129,"Washington County, Alabama",,42,Wholesale trade,,2015,9,60,762,2795
0500000US01131,01131,"Wilcox County, Alabama",,42,Wholesale trade,,2015,7,48,495,9320
0500000US01133,01133,"Winston County, Alabama",,42,Wholesale trade,,2015,26,250,2048,9836
0500000US02013,02013,"Aleutians East Borough, Alaska",,42,Wholesale trade,,2015,1,,,
0500000US02016,02016,"Aleutians West Census Area, Alaska",,42,Wholesale trade,,2015,13,114,2277,9035
0500000US02020,02020,"Anchorage Municipality, Alaska",,42,Wholesale trade,,2015,381,6056,92773,382170
0500000US02050,02050,"Bethel Census Area, Alaska",,42,Wholesale trade,,2015,3,24,258,1046
0500000US02060,02060,"Bristol Bay Borough, Alaska",,42,Wholesale trade,,2015,4,,,
0500000US02070,02070,"Dillingham Census Area, Alaska",,42,Wholesale trade,,2015,2,,,
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",,42,Wholesale trade,,2015,76,741,10996,44156
0500000US02100,02100,"Haines Borough, Alaska",,42,Wholesale trade,,2015,1,,,
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",,42,Wholesale trade,,2015,1,,,
0500000US02110,02110,"Juneau City and Borough, Alaska",,42,Wholesale trade,,2015,37,292,3260,15883
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",,42,Wholesale trade,,2015,52,415,5468,24843
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",,42,Wholesale trade,,2015,11,120,1221,8191
0500000US02150,02150,"Kodiak Island Borough, Alaska",,42,Wholesale trade,,2015,23,87,1134,6055
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",,42,Wholesale trade,,2015,44,312,3927,17195
0500000US02180,02180,"Nome Census Area, Alaska",,42,Wholesale trade,,2015,4,40,583,2397
