GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC01_MOE_VC03,HC02_EST_VC03,HC01_MOE_VC04,HC02_EST_VC04,HC01_MOE_VC05,HC02_EST_VC05,HC01_MOE_VC06,HC02_EST_VC06,HC01_MOE_VC08,HC02_EST_VC08,HC01_MOE_VC09,HC02_EST_VC09,HC01_MOE_VC10,HC02_EST_VC10,HC01_MOE_VC11,HC02_EST_VC11,HC01_MOE_VC12,HC02_EST_VC12,HC01_MOE_VC13,HC02_EST_VC13,HC01_MOE_VC14,HC02_EST_VC14,HC01_MOE_VC15,HC02_EST_VC15
01001,Autauga County, Alabama,4858,171,928,183,1885,296,1785,262,260,162,36319,180,1394,311,3262,417,12182,693,8203,658,2841,375,4897,471,3540,478
01003,Baldwin County, Alabama,14479,313,2558,411,4842,562,5836,598,1243,385,137001,313,4385,684,9975,902,39431,1477,31080,1312,12420,1037,26388,1393,13322,1015
01005,Barbour County, Alabama,2386,86,600,126,1035,226,707,191,44,40,18808,87,1732,235,3289,289,6490,331,3593,254,1350,189,1412,227,942,170
01007,Bibb County, Alabama,2056,157,520,161,681,175,830,193,25,31,15629,175,1086,280,1938,329,6574,459,3413,444,954,255,946,278,718,217
01009,Blount County, Alabama,4618,73,894,215,1538,266,2048,248,138,77,39408,84,2745,340,5727,701,13179,664,8827,696,3850,445,3396,405,1684,296
01011,Bullock County, Alabama,1006,209,82,60,659,196,265,147,0,18,7438,209,882,323,1732,299,2478,393,1083,207,232,98,484,195,547,179
01013,Butler County, Alabama,1630,28,313,97,490,118,793,142,34,37,13996,44,1064,188,2038,227,5274,375,2431,248,1157,208,1173,204,859,158
01015,Calhoun County, Alabama,11867,118,1653,256,3362,395,6282,371,570,160,78700,118,4576,499,10445,756,25062,1001,19265,868,5534,537,8437,703,5381,556
01017,Chambers County, Alabama,2897,25,412,126,1234,222,1137,222,114,69,23814,60,1487,224,3532,361,9140,428,5051,395,1845,281,1800,274,959,152
01019,Cherokee County, Alabama,1928,98,305,110,739,141,777,142,107,66,18734,122,1451,248,2389,303,6828,454,4136,379,1352,221,1480,240,1098,218
01021,Chilton County, Alabama,3731,100,505,194,1564,215,1528,227,134,79,29472,104,2391,363,3973,448,11562,612,5229,535,2166,342,2673,377,1478,280
01023,Choctaw County, Alabama,1043,*****,182,56,450,73,382,81,29,37,9534,*****,777,147,1473,194,3512,281,1937,211,709,138,701,142,425,119
01025,Clarke County, Alabama,2188,*****,514,148,1224,178,426,118,24,26,17128,*****,813,187,2526,269,7515,523,2854,311,1203,211,1440,251,777,152
01027,Clay County, Alabama,1027,109,194,93,411,125,387,120,35,42,9535,123,1009,185,1368,217,3460,350,2004,210,780,188,552,150,362,114
01029,Cleburne County, Alabama,1101,9,206,71,464,124,355,118,76,62,10420,44,680,160,1910,230,3988,309,2105,250,480,127,721,163,536,129
01031,Coffee County, Alabama,4296,126,853,197,1258,169,1834,240,351,126,34464,126,1901,227,3390,317,10151,497,7542,452,3257,350,5250,454,2973,343
01033,Colbert County, Alabama,4584,117,954,190,1433,261,2036,262,161,80,38008,116,1727,246,4409,455,13131,581,8844,544,2834,340,4299,508,2764,339
01035,Conecuh County, Alabama,1114,51,246,89,582,109,256,104,30,27,8905,63,658,150,1293,207,3962,316,1632,194,628,142,400,130,332,103
01037,Coosa County, Alabama,960,115,188,77,277,127,495,137,0,18,8022,108,722,166,1358,243,3017,273,1725,224,521,130,408,112,271,95
01039,Covington County, Alabama,3007,62,648,180,1190,176,1103,202,66,41,26470,78,1974,231,3369,288,8890,508,5901,378,2544,271,2550,263,1242,174
01041,Crenshaw County, Alabama,1176,30,271,87,436,94,379,75,90,53,9548,59,892,139,1213,153,3629,262,1745,178,705,119,955,161,409,104
