Rank,CountyName,State,StateAbbr,PerCapitaIncome,MedianHouseholdIncome,MedianFamilyIncome,Population,NumberOfHouseholds
1,New York County,36061,New York,NY,62498,69659,84627,1605272,736192
2,Arlington,51013,Virginia,VA,62018,103208,139244,214861,94454
3,Falls Church City,51610,Virginia,VA,59088,120000,152857,12731,5020
4,Marin,06041,California,CA,56791,90839,117357,254643,102912
5,Alexandria City,51510,Virginia,VA,54608,85706,107511,143684,65369
6,Pitkin,08097,Colorado,CO,51814,72745,93981,17173,7507
7,Los Alamos,35028,New Mexico,NM,51044,106686,124979,17979,7590
8,Fairfax County,51600,Virginia,VA,50532,110292,128596,1101071,389908
9,Hunterdon,34019,New Jersey,NJ,50349,106143,125828,127047,46816
10,Borden,48033,Texas,TX,50042,71607,76250,649,225
11,Montgomery,24031,Maryland,MD,49038,98221,117408,989474,360563
12,Morris,34027,New Jersey,NJ,48814,98633,117683,495261,179665
13,Fairfield,09001,Connecticut,CT,48721,82283,104250,926233,332655
14,San Francisco,06077,California,CA,48486,75604,90116,817501,345344
15,Howard,24027,Maryland,MD,48172,109865,128657,293821,106142
16,Westchester,36119,New York,NY,47984,81946,105341,956283,343561
17,Somerset,34035,New Jersey,NJ,47803,99020,117393,326207,115531
18,Nantucket,25019,Massachusetts,MA,47331,85478,92500,10224,4069
19,Loudoun,51107,Virginia,VA,46565,122238,133550,326477,106997
20,North Slope,02185,Alaska,AK,46457,80761,82500,9484,1990
21,San Mateo,06077,California,CA,45732,88202,105844,729543,257941
22,Kalawao,15005,Hawaii,HI,45515,59375,88750,71,46
23,District of Columbia,11001,District of Columbia,DC,45290,65830,79665,619371,263649
24,Goochland,51075,Virginia,VA,45039,80976,92042,21565,8058
25,Norfolk,25021,Massachusetts,MA,44692,84916,108943,677296,257451
26,Fairfax City,51600,Virginia,VA,44345,97242,113538,23027,8492
27,Douglas,08035,Colorado,CO,43634,101591,112930,293014,103780
28,Teton,56039,Wyoming,WY,43444,68078,83558,21575,7583
29,Bergen,34003,New Jersey,NJ,43347,83794,102222,912795,335422
30,Middlesex,25017,Massachusetts,MA,42861,82090,104032,1522533,581120
31,Monmouth,34025,New Jersey,NJ,42749,84526,105971,629735,233909
32,Summit,49043,Utah,UT,42462,83336,95879,37232,13627
33,Nassau,36059,New York,NY,42400,97690,112874,1343765,441955
34,Mineral,08079,Colorado,CO,42255,47083,68438,761,393
35,Chester,42029,Pennsylvania,PA,42210,86050,105278,503075,184788
36,Ozaukee,55089,Wisconsin,WI,42041,75457,92262,86708,34108
37,Clear Creek,08019,Colorado,CO,41716,67259,89583,9048,4024
38,Santa Clara,06083,California,CA,41513,91702,103983,1812208,609377
39,Montgomery,42091,Pennsylvania,PA,41472,79183,99587,804621,307488
40,Williamson,47187,Tennessee,TN,41292,89779,104796,188935,66364
41,San Miguel,08113,Colorado,CO,40827,63594,77708,7496,3234
42,Anne Arundel,24003,Maryland,MD,40415,87430,101268,544426,199904
43,Putnam,36079,New York,NY,40309,95117,109188,99718,34496
44,Newport,44005,Rhode Island,RI,40293,71713,88962,82545,34774
45,Delaware County,39041,Ohio,OH,40189,89757,103564,178139,64208
46,Middlesex,09007,Connecticut,CT,39992,76994,98501,165690,66141
47,King,53033,Washington,WA,39911,71811,92510,1974567,802606
48,Fauquier,51061,Virginia,VA,39600,88409,103556,66015,23130
49,Hamilton,18057,Indiana,IN,39521,82468,99768,282977,103234
50,Eagle,08037,Colorado,CO,39497,74456,86167,52151,17966
51,James City County,51095,Virginia,VA,39133,76960,90406,68171,26883
52,Bristol,44001,Rhode Island,RI,38893,71238,93131,49426,19174
53,Johnson,20091,Kansas,KS,38827,74717,92512,552947,216304
54,Clarke,51043,Virginia,VA,38748,77597,95654,14191,5580
55,Williams,38105,North Dakota,ND,38738,76210,86285,25024,10411
56,DuPage,17043,Illinois,IL,38570,78487,95208,922803,336028
57,Poquoson City,51735,Virginia,VA,38444,81892,98848,12117,4591
58,Rockingham,33015,New Hampshire,NH,38399,77348,93420,296718,116262
59,Calvert,24009,Maryland,MD,38260,95477,107684,89332,30923
60,Contra Costa,06013,California,CA,38219,78756,94208,1065794,375855
61,Queen Anne's,24035,Maryland,MD,38108,87256,97909,48166,17292
62,Gilpin,08047,Colorado,CO,38022,63885,87639,5477,2504
63,Talbot,24041,Maryland,MD,38022,61597,74811,37859,16013
64,Lake,17097,Illinois,IL,38018,77469,92116,702099,241072
65,Boulder,08013,Colorado,CO,38011,67956,92667,301072,120521
66,Billings,38007,North Dakota,ND,37972,57083,69167,876,350
67,Sussex,34037,New Jersey,NJ,37949,87335,100066,147924,54746
68,Collin,48085,Texas,TX,37839,82762,97421,811308,289752
69,San Juan,53055,Washington,WA,37719,53376,65067,15786,7753
70,Litchfield,09005,Connecticut,CT,37667,71338,87945,188629,75755
71,Waukesha,55133,Wisconsin,WI,37577,75850,92974,391200,153422
72,Juneau,02110,Alaska,AK,37558,81490,95112,31897,12099
73,Hennepin,27053,Minnesota,MN,37485,64403,84559,1170623,481263
74,Boone,18011,Indiana,IN,37482,67255,80907,58009,21908
75,Bucks,42017,Pennsylvania,PA,37466,76555,92907,625977,230366
76,Mercer,34021,New Jersey,NJ,37465,73480,94267,368094,130754
77,Carver,27019,Minnesota,MN,37457,83773,96913,92770,33486
78,Broomfield,08014,Colorado,CO,37442,77998,96787,57171,22016
79,Prince William,51149,Virginia,VA,37401,98071,106544,416668,132442
80,Charles,24017,Maryland,MD,37277,93160,104078,148957,51247
81,Albemarle,51003,Virginia,VA,37239,67725,89889,100636,37964
