CountyId,Total,NaturalResources,Construction,Manufacturing,WholesaleTrade,RetailTrade,TransportationUtilities,Information,Finance,ProfessionalScientific,Education,ArtsEntertainment,OtherServices,Administration
28039,8260,2.240,13.220,19.177,2.337,10.860,6.295,0.860,3.123,8.257,21.671,4.213,4.395,3.354
47189,59107,0.944,6.470,9.547,4.353,13.821,6.165,2.176,7.649,10.530,18.445,9.706,5.341,4.854
31067,11077,6.021,6.599,14.092,3.358,11.077,5.742,1.309,4.071,4.758,28.853,4.631,4.469,5.019
8031,348382,1.276,6.929,5.356,2.784,9.098,4.188,3.534,8.304,17.359,20.267,11.904,4.951,4.050
22081,3241,11.879,14.409,10.861,1.604,9.226,6.356,0.123,1.944,5.708,21.537,7.282,3.055,6.017
21039,2122,6.692,10.462,14.138,2.215,10.085,9.802,1.225,4.053,6.975,18.850,6.173,3.440,5.891
2150,7032,8.362,3.370,11.377,2.204,11.945,6.286,0.867,4.508,7.409,19.255,8.660,3.299,12.457
27077,1975,9.114,5.165,22.785,2.278,10.430,2.582,0.557,3.494,1.519,13.975,22.886,2.532,2.684
42117,18289,6.315,6.425,16.513,2.231,11.712,5.626,1.301,3.745,5.867,23.703,7.885,4.675,4.002
27113,7636,3.824,5.330,15.440,15.270,17.496,4.990,1.048,2.344,2.868,21.464,4.741,3.654,1.532
30067,7782,10.370,7.582,4.857,0.822,14.919,2.788,3.315,5.526,8.841,18.157,13.621,5.436,3.765
18095,54576,1.041,5.676,13.896,2.351,11.540,5.372,1.510,4.881,8.813,24.315,10.373,5.579,4.652
54021,2791,8.492,4.407,4.801,0.537,8.348,5.231,1.397,1.612,3.189,32.856,11.215,8.026,9.889
39007,40422,1.554,6.185,24.455,1.697,12.122,5.754,1.502,3.617,5.448,22.767,7.117,4.465,3.318
17143,85639,0.875,4.928,16.217,2.088,10.868,4.138,1.659,5.381,10.054,26.807,8.692,5.051,3.243
20013,4606,8.011,3.734,17.564,1.411,9.249,4.494,1.780,3.517,4.624,28.094,7.924,3.647,5.949
36119,465097,0.182,6.035,4.070,2.409,9.764,3.983,3.310,10.215,14.626,27.392,8.432,5.897,3.685
27013,36492,2.949,5.050,13.902,2.409,13.830,3.469,2.442,3.623,6.758,27.916,10.131,4.708,2.814
29059,5943,4.156,8.682,12.384,4.812,15.665,8.901,1.380,3.012,6.613,18.324,5.788,6.024,4.257
35017,10585,13.519,8.276,1.493,1.228,11.535,3.212,1.294,4.110,5.895,31.460,9.249,3.694,5.035
12021,141106,3.662,10.042,3.420,2.196,13.250,3.373,1.451,8.132,12.856,16.952,15.617,6.287,2.761
4025,81511,2.775,8.311,4.853,1.935,12.723,4.588,1.494,4.571,9.510,24.456,13.856,6.069,4.858
36025,19850,3.975,8.665,13.401,1.683,10.786,3.844,1.290,3.980,6.705,27.426,9.164,4.317,4.766
47103,14232,1.939,7.574,25.471,2.431,13.055,3.654,1.244,4.272,7.174,16.069,6.443,4.841,5.832
48497,27154,11.008,7.284,9.339,2.394,11.438,9.660,1.764,4.242,6.482,20.303,6.408,4.961,4.718
42085,50055,1.764,5.292,16.038,2.196,13.185,4.139,1.095,3.746,6.415,28.479,8.461,5.116,4.074
12055,31131,7.260,5.737,4.012,1.773,14.696,3.447,0.909,4.629,8.329,25.312,11.943,5.647,6.306
51083,14234,2.698,6.175,16.784,0.977,16.187,5.592,0.955,2.185,5.374,25.137,6.506,5.115,6.316
31013,5606,8.848,6.047,7.314,2.818,6.939,22.922,0.624,4.067,5.227,21.780,4.370,5.851,3.193
6047,96170,13.557,6.327,11.586,3.021,11.095,5.368,1.155,3.633,6.672,22.229,7.289,4.029,4.039
32033,3529,24.653,7.339,1.275,1.927,8.728,3.202,1.133,1.984,4.279,16.634,11.646,1.474,15.727
31003,3288,22.719,6.934,6.204,3.741,12.622,6.752,0.730,4.227,2.433,21.533,5.018,3.771,3.315
21107,19388,8.505,5.478,13.973,2.661,12.461,3.858,0.738,4.668,4.926,25.418,6.530,5.720,5.065
48103,1980,29.192,5.354,4.192,2.929,7.879,9.141,0.253,0.202,3.434,19.394,5.051,8.182,4.798
56041,10064,11.486,7.134,5.793,2.603,12.162,7.204,1.789,3.378,6.558,25.229,8.545,3.567,4.551
29163,7300,7.808,7.795,10.342,4.192,13.219,5.740,2.671,4.137,7.521,22.507,4.329,3.589,6.151
27153,11437,8.577,7.756,20.512,2.168,9.627,5.613,1.618,3.515,5.063,23.686,4.652,4.695,2.518
27005,15929,4.884,8.651,13.397,2.147,13.642,4.727,1.061,3.522,4.897,25.143,8.990,4.621,4.319
48175,2962,13.774,4.558,12.323,2.026,9.453,4.591,2.600,2.093,5.199,25.017,6.178,4.659,7.529
5101,3228,6.722,8.457,12.608,1.425,13.042,10.936,1.425,3.810,4.120,23.668,8.426,3.532,1.828
35043,58433,1.503,6.979,8.206,2.173,11.815,4.290,2.209,5.702,10.699,24.231,10.516,4.039,7.636
2016,3787,1.822,6.628,38.896,1.954,7.631,14.603,1.188,1.664,3.802,8.027,2.799,2.931,8.054
46129,2595,7.592,7.206,5.010,3.545,11.214,6.166,2.119,4.432,4.393,25.434,10.520,6.127,6.243
22105,53685,2.513,9.489,8.794,2.552,12.776,4.696,1.317,4.459,6.380,25.493,10.960,5.232,5.339
48327,797,13.300,13.425,3.388,0.000,11.292,6.650,0.000,2.008,7.277,27.353,6.148,2.384,6.775
26157,23074,4.243,6.583,17.812,1.911,12.954,5.326,0.979,3.775,6.167,25.163,7.069,4.923,3.094
27111,27662,5.441,8.192,13.922,2.776,10.574,5.929,1.826,4.501,6.250,25.092,6.149,5.437,3.912
47021,18572,1.007,11.485,12.320,2.854,11.189,6.327,1.621,6.111,8.077,20.536,6.725,5.611,6.138
