FIPS,State,County,MedHHInc2015,PerCapitaInc,PovertyUnder18Pct2015,PovertyAllAgesPct2015,Deep_Pov_All,Deep_Pov_Children,PovertyUnder18Num2015,PovertyAllAgesNum2015
00000,US,United States,55775,28930,20.7,14.7,6.8,9.7,15000273,46153077
01000,AL,Alabama,44833,24091,26.5,18.5,8.2,12.8,288450,875853
01001,AL,Autauga,56580,24974,18.8,12.7,4.8,7.6,2544,6966
01003,AL,Baldwin,52387,27317,19.6,12.9,5.7,8.1,8629,25941
01005,AL,Barbour,31433,16824,45.2,32.0,14.6,31.5,2510,7380
01007,AL,Bibb,40767,18431,29.3,22.2,5.8,8.5,1339,4516
01009,AL,Blount,50487,20532,22.2,14.7,6.7,12.3,2935,8399
01011,AL,Bullock,28251,17580,51.2,39.6,15.1,33.4,1116,3544
01013,AL,Butler,33868,18390,36.0,25.8,8.2,16.1,1685,5100
01015,AL,Calhoun,42091,21374,30.7,20.0,8.0,13.9,7687,22579
01017,AL,Chambers,35560,21071,34.4,22.4,9.7,20.5,2452,7532
01019,AL,Cherokee,39144,21811,30.2,19.4,5.8,9.7,1558,4961
01021,AL,Chilton,42767,21399,28.1,20.2,8.4,13.6,2950,8787
01023,AL,Choctaw,35089,20755,33.5,24.4,7.6,12.7,891,3177
01025,AL,Clarke,37317,20064,30.9,22.2,13.6,14.9,1671,5403
01027,AL,Clay,38908,18905,27.3,18.4,7.3,11.4,781,2436
01029,AL,Cleburne,42136,20151,27.7,18.9,6.4,10.6,941,2797
01031,AL,Coffee,46858,24936,23.7,16.2,6.1,10.3,2842,8196
01033,AL,Colbert,41171,22546,26.9,18.1,7.6,11.8,3102,9732
01035,AL,Conecuh,29981,15968,41.0,28.3,13.7,24.1,1105,3560
01037,AL,Coosa,36078,17519,32.2,20.3,8.3,15.2,611,2118
01039,AL,Covington,36355,20977,34.1,22.3,7.8,14.5,2801,8319
01041,AL,Crenshaw,36759,20585,29.6,19.9,6.6,8.0,924,2742
01043,AL,Cullman,39290,20881,24.7,19.4,6.5,8.9,4456,15694
01045,AL,Dale,45294,22566,29.0,18.5,8.0,11.9,3313,8980
01047,AL,Dallas,29682,17808,50.1,34.6,17.5,31.3,5093,14021
01049,AL,DeKalb,37305,18411,28.9,20.6,7.8,11.4,4989,14481
01051,AL,Elmore,53548,24381,19.9,14.0,5.6,9.8,3652,10609
01053,AL,Escambia,36840,17045,32.0,24.4,8.6,12.0,2642,8394
01055,AL,Etowah,42145,20500,30.7,19.0,7.4,13.4,6795,19146
01057,AL,Fayette,37085,19545,29.4,20.4,7.7,10.7,1050,3364
01059,AL,Franklin,38535,18595,32.4,21.1,8.6,14.5,2475,6609
01061,AL,Geneva,36289,20224,34.8,22.4,10.0,19.0,2040,5932
01063,AL,Greene,25398,13611,54.7,37.7,17.3,35.2,1065,3175
01065,AL,Hale,35470,18877,38.6,28.5,13.1,26.1,1357,4224
01067,AL,Henry,42501,22931,27.5,17.0,5.1,4.3,986,2894
01069,AL,Houston,43568,23925,29.5,18.3,7.8,14.5,7110,18829
01071,AL,Jackson,40201,20066,26.9,18.4,7.1,10.9,2977,9516
01073,AL,Jefferson,48415,27240,26.2,18.0,8.3,13.3,39431,115897
01075,AL,Lamar,36520,20130,33.8,24.7,9.2,11.7,992,3378
01077,AL,Lauderdale,43008,24215,23.9,17.3,8.3,13.3,4428,15642
01079,AL,Lawrence,41771,21369,26.4,18.7,5.6,7.5,1864,6130
01081,AL,Lee,46442,24356,20.7,21.0,12.8,12.2,6915,31900
01083,AL,Limestone,55060,25569,18.8,14.3,5.4,7.4,3944,12644
01085,AL,Lowndes,31117,18429,46.7,35.2,13.7,26.1,1110,3640
01087,AL,Macon,29522,17374,46.1,32.2,13.2,22.4,1559,5588
01089,AL,Madison,59117,32131,19.1,13.3,5.9,8.8,14867,45877
01091,AL,Marengo,35389,21471,34.8,23.3,9.9,14.7,1608,4596
01093,AL,Marion,34977,20042,30.4,19.8,8.9,14.6,1900,5789
01095,AL,Marshall,40599,21363,32.7,20.1,7.8,12.9,7442,18767
01097,AL,Mobile,42530,22953,26.9,18.4,8.6,14.1,26298,75204
01099,AL,Monroe,35163,15863,35.7,28.6,16.6,23.3,1755,6116
01101,AL,Montgomery,42666,25138,33.8,22.8,10.7,17.5,18031,49457
01103,AL,Morgan,47234,24449,24.0,16.4,6.0,8.7,6505,19250
01105,AL,Perry,26218,14804,54.4,40.0,14.0,27.4,1121,3536
01107,AL,Pickens,33160,17957,35.3,24.3,9.6,17.0,1444,4531
01109,AL,Pike,34442,19415,36.0,25.9,16.0,19.6,2297,8066
01111,AL,Randolph,37333,19363,31.7,18.7,9.1,17.8,1549,4154
01113,AL,Russell,36124,19882,36.3,23.0,9.6,14.4,5498,13575
01115,AL,St. Clair,53558,24168,17.5,12.4,7.5,12.0,3431,10494
01117,AL,Shelby,70879,33494,10.2,8.5,3.2,3.5,5088,17558
01119,AL,Sumter,25931,12887,44.2,33.2,20.1,28.3,1118,4073
01121,AL,Talladega,37911,19598,31.1,22.4,9.2,17.0,5362,17439
01123,AL,Tallapoosa,39051,21177,34.5,21.7,9.4,20.5,2928,8717
01125,AL,Tuscaloosa,47868,23124,25.1,20.0,9.8,12.5,10533,38704
01127,AL,Walker,37305,20166,31.1,20.6,7.8,12.4,4392,13271
01129,AL,Washington,42658,19743,31.5,22.4,5.9,7.7,1182,3728
01131,AL,Wilcox,23014,14170,49.2,33.2,20.5,31.9,1331,3629
01133,AL,Winston,36497,18808,29.3,18.9,8.5,17.7,1449,4451
02000,AK,Alaska,73391,33413,14.5,10.4,4.5,5.9,26564,74941
02010,AK,Aleutian Islands,,,,,,,,
02013,AK,Aleutians East,57015,28608,15.5,17.4,4.5,5.0,45,582
02016,AK,Aleutians West,80695,31754,8.5,8.5,3.9,3.6,54,469
02020,AK,Anchorage,77791,36920,12.4,8.7,3.8,5.1,8982,25305
02050,AK,Bethel,44849,17746,31.5,24.2,8.6,10.3,2009,4271
02060,AK,Bristol Bay,66373,38267,8.6,9.0,5.0,5.9,14,79
02068,AK,Denali,73000,35315,10.2,6.6,6.4,4.1,36,124
02070,AK,Dillingham,50753,22257,30.4,20.0,6.6,9.0,468,993
02090,AK,Fairbanks North Star,70881,33244,10.1,8.1,3.8,4.9,2388,7671
02100,AK,Haines,57876,33902,20.2,10.9,1.9,0.7,98,275
02105,AK,Hoonah-Angoon,53726,30943,29.2,16.2,4.9,15.1,123,346
02110,AK,Juneau ,82892,39979,10.1,8.0,2.9,4.4,719,2542
02122,AK,Kenai Peninsula,62025,31537,14.0,11.4,4.4,4.8,1847,6488
02130,AK,Ketchikan Gateway,65314,32021,14.4,10.3,5.3,5.5,430,1384
02150,AK,Kodiak Island,67515,30657,9.3,7.5,2.9,2.2,332,1021
02164,AK,Lake and Peninsula,42120,23041,31.4,19.3,7.3,12.9,140,301
02170,AK,Matanuska-Susitna,76601,29913,11.8,9.8,4.8,5.7,3184,9676
