FIPS,State,County,UnempRate2016,UnempRate2015,UnempRate2014,UnempRate2010,UnempRate2007,PctEmpChange1016,PctEmpChange1516,PctEmpChange0716,PctEmpChange0710,PctEmpAgriculture,PctEmpManufacturing,PctEmpServices,PctEmpGovt,NumCivEmployed,NumEmployed2008,NumCivLaborForce2010,UnempRate2011,NumUnemployed2010,NumEmployed2010,NumUnemployed2009,NumEmployed2009,NumCivLaborForce2009,NumUnemployed2008,UnempRate2012,NumCivLaborForce2008,UnempRate2009,UnempRate2008,NumUnemployed2013,NumUnemployed2016,NumEmployed2016,NumCivLaborforce2016,NumCivLaborforce2015,NumEmployed2015,NumUnemployed2015,NumUnemployed2014,NumEmployed2014,NumUnemployed2011,UnempRate2013,NumCivLaborForce2011,NumEmployed2013,NumCivLaborforce2013,NumUnemployed2007,NumEmployed2007,NumCivLaborforce2007,NumUnemployed2012,NumEmployed2012,NumCivLaborForce2012,NumEmployed2011,NumCivLaborforce2014
00000,US,United States,4.9,5.3,6.2,9.6,4.6,8.3,1.6,4.0,-4.0,2.0,10.4,57.4,4.8,145747779,144860522,154270738,9.0,14862531,139408207,14230942,139594849,153825791,8900776,8.1,153761298,9.3,5.8,11465239,7729204,151012776,158741980,156953813,148661161,8292652,9625347,146427254,13840495,7.4,154606318,143997090,155462329,145156247,7035039,152191286,12518789,142600417,155119206,140765823,154606318
01000,AL,Alabama,6.0,6.1,6.8,10.5,4.0,3.8,0.9,-2.4,-6.0,1.7,13.9,52.5,5.7,2022325,2053477,2196042,9.6,231483,1964559,238252,1924747,2162999,123012,8.0,2176489,11.0,5.7,156775,129833,2038775,2168608,2152289,2020675,131614,146950,2015436,212257,7.2,2202670,2011636,2168411,86485,2089127,2175612,173047,2003290,2176337,1990413,2162386
01001,AL,Autauga,5.3,5.3,5.9,8.9,3.3,3.7,1.4,3.1,-0.6,1.4,14.1,47.4,11.2,23986,23420,25713,8.4,2282,23431,2402,22301,24703,1267,6.9,24687,9.7,5.1,1604,1352,24297,25649,25303,23971,1332,1499,24111,2159,6.2,25836,24140,25744,806,23577,24383,1779,23961,25740,23677,25610
01003,AL,Baldwin,5.4,5.6,6.1,10.0,3.1,13.2,2.6,6.2,-6.2,1.5,9.3,53.9,4.7,85953,79372,83459,9.0,8339,75120,8048,74403,82451,3851,7.5,83223,9.8,4.6,5647,4870,85061,89931,87756,82882,4874,5313,81131,7627,6.6,85045,79414,85061,2560,80099,82659,6349,78065,84414,77418,86444
01005,AL,Barbour,8.6,8.8,10.6,12.3,6.3,-15.3,-3.8,-21.7,-7.5,3.4,21.8,40.0,8.0,8597,9267,10221,11.5,1262,8959,1431,8572,10003,894,11.5,10161,14.3,8.8,930,718,7584,8302,8646,7881,765,935,7917,1137,10.2,9849,8147,9077,650,9684,10334,1079,8283,9362,8712,8852
01007,AL,Bibb,6.6,6.7,7.2,11.4,4.1,1.1,0.6,-5.1,-6.1,5.2,19.5,43.4,3.7,8294,8241,8934,10.5,1020,7914,1161,7581,8742,508,8.5,8749,13.3,5.8,688,569,8004,8573,8526,7957,569,618,7946,937,7.9,8933,7995,8683,359,8432,8791,751,8047,8798,7996,8564
01009,AL,Blount,5.5,5.4,6.1,9.8,3.2,3.2,0.7,-10.1,-12.9,3.1,16.0,45.3,5.1,22189,25453,24906,8.7,2446,22460,2648,23832,26480,1245,6.9,26698,10.0,4.7,1560,1354,23171,24525,24343,23021,1322,1507,23036,2184,6.3,25123,23263,24823,849,25780,26629,1716,23244,24960,22939,24543
01011,AL,Bullock,7.2,7.9,8.8,11.8,9.4,2.5,1.5,35.0,31.7,15.2,20.1,32.8,7.0,3865,3251,4941,11.6,585,4356,583,3156,3739,383,10.4,3634,15.6,10.5,447,345,4466,4811,4779,4400,379,418,4316,561,9.4,4833,4319,4766,345,3308,3653,491,4245,4736,4272,4734
01013,AL,Butler,7.1,7.6,8.6,13.6,6.2,6.0,0.2,-0.7,-6.3,3.8,19.9,42.8,5.5,7813,8278,9261,12.5,1263,7998,1489,7615,9104,773,11.5,9051,16.4,8.5,940,651,8481,9132,9155,8460,695,794,8482,1146,10.3,9188,8184,9124,560,8539,9099,1049,8039,9088,8042,9276
01015,AL,Calhoun,6.7,7.0,8.0,11.4,3.9,-6.5,-0.2,-18.9,-13.3,0.7,17.3,49.2,8.2,47401,51468,51559,10.3,5860,45699,5996,47929,53925,3096,8.9,54564,11.1,5.7,4239,3067,42727,45794,46048,42813,3235,3782,43492,5305,8.8,51268,44043,48282,2152,52709,54861,4397,45252,49649,45963,47274
