FIPS,State,County,Vets18OPct,GulfWar2VetsPct,GulfWar1VetsPct,VietnamEraVetsPct,KoreanWarVetsPct,WW2VetsPct,MaleVetsPct,FemaleVetsPct,WhiteNonHispVetsPct,BlackVetsPct,HispanicVetsPct,OtherRaceVetsPct,MedianVetsInc,MedianNonVetsInc,LessThanHSVetsPct,HighSchOnlyVetsPct,SomeCollegeVetsPct,CollegeDegreeVetsPct,LFPVetsRate,UEVetsRate,PctVetsPoor,PctNonVetsPoor,PctVetsDisabilty,PctNonVetsDisabilty,CivPopVets18to64Num,CivPop18ONum,Vets18ONum,NonVetsDisabilty,NonVetsPoor,VetsDisabilty,VetsPoor,CLFVets18to64Num
00000,US,United States,8.3,14.1,18.0,35.5,10.5,6.8,92.1,7.9,79.1,11.3,6.1,5.2,37469,26436,7.1,29.0,36.8,27.0,75.1,7.3,9.0,14.9,17.7,9.9,10750884,241816698,20108332,18009068,26964693,1872433,950028,8076131
01000,AL,Alabama,9.8,15.7,21.8,37.1,9.8,4.9,91.9,8.1,74.9,21.4,1.5,2.7,36595,21892,7.8,28.6,37.6,26.0,71.7,7.0,9.9,18.3,21.4,14.1,207561,3705690,363170,381146,492600,43782,20176,148767
01001,AL,Autauga,13.5,24.4,33.2,33.4,12.3,3.7,91.0,9.0,86.5,10.8,2.5,0.9,45259,24832,6.6,24.3,37.1,32.0,79.5,8.7,9.7,11.8,18.5,15.5,3528,40732,5506,4573,3481,651,342,2806
01003,AL,Baldwin,13.0,11.2,18.9,41.0,10.9,5.1,91.7,8.3,89.8,6.5,1.4,2.5,37198,24356,5.6,26.8,37.2,30.4,71.5,5.1,10.2,13.4,16.2,10.4,9563,151238,19608,10924,14066,1536,967,6837
01005,AL,Barbour,9.6,8.1,23.9,34.7,10.8,3.4,93.9,6.1,64.0,32.5,0.3,3.5,30074,16149,10.1,40.5,31.4,18.0,56.1,4.6,19.3,22.8,36.2,19.0,1156,21194,2042,2510,3012,359,192,649
01007,AL,Bibb,6.7,6.1,17.9,34.7,15.7,5.6,93.6,6.4,86.8,11.3,0.7,1.9,,,14.6,43.4,31.0,11.1,52.1,7.3,13.0,13.9,35.4,12.9,582,17682,1182,1578,1695,188,69,303
01009,AL,Blount,9.9,13.7,10.6,41.8,13.2,2.5,94.6,5.4,93.4,1.8,2.0,4.0,33239,23169,11.7,36.4,34.3,17.6,68.6,6.6,7.8,15.0,27.3,14.5,2169,43993,4360,4673,4829,591,169,1487
01011,AL,Bullock,5.1,20.1,22.0,30.8,7.2,10.3,79.0,21.0,48.1,49.8,0.0,2.1,31042,18042,13.1,33.6,31.0,22.3,62.0,20.0,5.3,20.9,21.3,16.1,234,8444,428,997,1289,48,12,145
01013,AL,Butler,9.3,16.7,19.6,35.1,8.4,5.8,96.9,3.1,63.7,34.3,0.0,2.0,,,12.6,41.1,29.8,16.5,63.6,5.1,6.4,24.0,25.0,18.0,827,15594,1457,1991,2648,204,52,526
01015,AL,Calhoun,12.0,12.4,24.0,39.0,9.5,4.0,90.9,9.1,77.7,18.8,1.2,2.7,36798,19466,8.9,27.5,41.9,21.7,74.1,10.1,8.3,20.0,29.1,18.0,6197,90265,10867,11511,12800,1790,512,4595
01017,AL,Chambers,9.2,12.3,19.0,38.5,11.2,4.7,90.5,9.5,74.0,24.7,0.0,1.2,28299,19744,10.2,30.9,40.9,18.0,72.1,12.4,12.7,19.2,26.4,16.1,1210,26686,2450,3108,3693,319,153,872
01019,AL,Cherokee,11.3,10.9,14.8,51.3,11.0,2.6,96.7,3.3,91.5,5.3,0.0,3.2,27474,19856,14.2,39.0,31.8,15.0,61.6,0.0,6.6,18.4,24.8,20.8,1101,20662,2337,2977,2622,271,72,678
01021,AL,Chilton,9.9,16.8,17.3,36.9,9.8,3.1,89.0,11.0,86.8,7.3,1.9,5.3,37276,22405,9.4,35.2,38.3,17.2,72.0,5.8,8.1,17.3,23.8,15.2,1796,33191,3276,3756,4272,425,145,1294
01023,AL,Choctaw,8.3,10.1,22.1,19.7,14.2,6.6,96.6,3.4,64.3,35.1,0.0,0.7,36536,17023,15.4,50.5,23.1,11.1,75.3,0.8,5.4,23.1,23.9,23.0,515,10577,873,1663,1675,123,28,388
01025,AL,Clarke,7.2,9.9,12.6,31.2,12.2,5.9,94.1,5.9,66.5,33.0,0.0,0.5,27950,19010,12.5,35.2,40.2,12.2,65.5,12.8,11.4,26.6,17.6,12.5,681,19316,1397,1761,3767,117,76,446
01027,AL,Clay,10.7,5.1,14.7,43.1,17.4,8.0,97.9,2.1,87.5,11.0,0.8,0.7,,,19.0,26.1,43.4,11.6,75.4,14.0,5.0,17.7,15.8,15.1,501,10557,1129,1115,1311,79,25,378
01029,AL,Cleburne,6.8,8.9,5.6,49.6,13.5,6.9,95.2,4.8,96.7,3.3,0.0,0.0,,,28.4,39.1,24.1,8.4,60.8,7.8,10.9,15.0,31.1,17.9,296,11521,788,1521,1273,91,32,180
01031,AL,Coffee,17.7,31.7,41.9,32.3,6.5,2.1,89.5,10.5,81.6,11.2,5.0,3.3,51272,19856,6.2,21.3,38.2,34.3,78.4,4.9,6.1,17.8,19.1,14.5,4615,37382,6616,3570,4377,878,281,3620
01033,AL,Colbert,9.5,10.5,10.8,35.9,10.7,8.5,92.4,7.6,78.1,17.7,2.2,2.9,30323,21520,8.9,38.7,33.6,18.7,70.0,10.4,9.9,17.0,20.0,17.8,2020,42562,4064,5448,5178,403,199,1414
01035,AL,Conecuh,9.7,4.1,31.2,30.0,12.6,8.5,83.7,16.3,70.0,29.8,0.2,0.0,24625,15214,12.2,35.7,42.6,9.5,42.8,2.1,30.3,35.9,40.7,22.1,544,10019,971,1531,2481,220,164,233
01037,AL,Coosa,9.4,8.9,21.2,44.6,8.8,10.7,88.6,11.4,81.1,18.9,0.0,0.0,34063,16869,9.9,23.2,55.0,11.8,56.2,15.0,12.9,18.9,15.2,18.8,438,8982,845,1194,1199,66,56,246
01039,AL,Covington,10.9,13.7,13.9,35.6,16.5,4.1,93.5,6.5,87.1,10.2,0.8,2.0,28744,18988,9.9,39.5,33.7,17.0,66.6,8.2,11.9,19.7,27.9,17.9,1618,29441,3221,3616,3990,448,192,1077
01041,AL,Crenshaw,8.6,15.6,12.8,39.4,8.0,3.8,94.2,5.8,81.1,18.9,0.0,0.0,32768,19901,12.6,35.1,40.0,12.2,78.0,16.2,12.0,16.4,20.0,17.4,450,10695,924,1366,1291,90,54,351
01043,AL,Cullman,9.1,11.1,10.0,39.9,10.6,6.3,94.6,5.4,96.2,1.0,0.3,2.4,26635,21536,12.2,29.9,43.0,14.9,70.6,6.0,13.1,17.9,18.5,12.9,2923,62642,5728,5838,8089,538,381,2063
01045,AL,Dale,18.3,25.9,31.2,36.3,9.9,3.0,86.8,13.2,79.2,15.6,3.0,2.7,39367,19430,5.0,27.9,47.6,19.5,76.2,8.7,8.7,20.8,20.3,17.4,4374,35685,6543,4128,4937,878,375,3331
01047,AL,Dallas,8.1,19.9,16.9,37.9,9.9,3.4,92.2,7.8,42.9,56.7,0.0,0.4,28990,16211,9.2,35.5,39.2,16.1,66.6,9.7,15.9,32.1,22.1,19.7,1585,31357,2539,4556,7397,350,252,1056
01049,AL,DeKalb,7.7,14.2,16.8,43.4,12.6,4.4,93.6,6.4,92.2,1.7,2.6,4.1,27678,20043,10.8,36.4,39.8,13.0,68.3,7.2,6.6,17.9,19.8,13.8,2202,53176,4089,5549,7174,426,143,1505
01051,AL,Elmore,12.0,19.4,30.6,37.7,8.3,3.4,87.9,12.1,84.2,11.1,1.9,2.9,47052,24005,4.6,27.3,40.3,27.7,72.4,1.7,4.0,13.2,24.1,15.3,4793,61693,7425,6407,5536,1115,185,3468
01053,AL,Escambia,9.1,6.6,13.3,38.1,11.0,6.2,93.8,6.2,70.6,24.1,0.5,4.7,27893,18840,10.5,44.7,31.1,13.7,44.8,10.1,4.7,25.2,30.3,17.7,1363,29491,2680,3523,5033,364,57,611
01055,AL,Etowah,9.7,12.5,20.5,39.3,9.1,4.9,92.5,7.5,84.9,12.6,0.3,2.2,29152,20117,9.1,30.8,40.9,19.1,65.9,7.0,10.8,18.1,25.2,19.0,4069,80563,7819,11105,10556,1016,436,2683
01057,AL,Fayette,9.3,12.6,14.4,32.8,14.6,7.8,92.5,7.5,82.0,17.8,0.0,0.2,24923,17946,17.9,44.3,23.8,14.0,44.2,9.3,25.9,16.9,48.4,22.5,609,13225,1230,2090,1567,295,158,269
01059,AL,Franklin,5.9,7.0,10.9,33.0,19.7,6.5,90.3,9.7,92.6,5.5,1.3,0.5,27038,20763,11.9,34.0,42.4,11.6,73.2,8.0,5.7,18.9,25.9,15.9,594,23965,1409,2895,3441,154,34,435
01061,AL,Geneva,10.7,14.4,18.9,41.2,11.8,3.9,92.6,7.4,91.9,6.5,0.2,1.3,,,9.8,36.5,35.1,18.6,63.6,2.7,12.0,21.6,25.3,18.3,1067,20763,2223,2675,3156,268,127,679
01063,AL,Greene,7.0,2.4,9.7,41.8,16.8,1.5,96.8,3.2,47.2,52.8,0.0,0.0,23958,13453,10.1,46.8,23.5,19.6,53.3,26.9,36.8,34.6,48.9,25.5,272,6669,464,1240,1684,133,100,145
01065,AL,Hale,7.2,9.8,23.8,33.8,13.0,5.7,95.5,4.5,52.0,47.6,0.0,0.4,30849,18340,10.3,39.9,32.7,17.1,45.6,5.0,21.8,24.5,37.6,18.6,485,11648,844,1573,2074,179,104,221
01067,AL,Henry,9.3,18.6,20.7,34.1,13.4,9.5,93.0,7.0,76.9,19.9,1.3,3.2,34167,21060,9.9,46.6,31.8,11.7,72.7,13.0,2.3,14.7,18.6,19.5,677,13558,1265,1835,1384,124,15,492
01069,AL,Houston,11.5,16.0,22.6,36.5,10.4,4.3,91.1,8.9,76.6,19.6,1.4,3.0,35881,20966,6.9,31.1,38.9,23.1,74.7,6.3,8.5,16.9,20.3,15.8,5243,78602,9016,8961,9589,1053,442,3918
01071,AL,Jackson,8.3,10.4,11.0,40.4,11.3,5.6,95.2,4.8,92.7,3.5,0.8,3.0,27819,21158,13.1,44.4,26.7,15.8,66.6,5.2,12.1,17.0,18.2,15.1,1565,41286,3418,4536,5103,281,186,1042
01073,AL,Jefferson,8.3,13.7,18.7,34.6,9.3,7.2,92.5,7.5,57.5,39.8,1.2,2.1,34681,24581,6.7,26.7,40.3,26.3,70.7,9.1,13.0,17.5,21.6,13.1,23901,505884,42178,49963,66596,5110,3075,16901
01075,AL,Lamar,9.3,27.3,9.0,36.2,11.1,6.6,98.3,1.7,95.8,1.7,0.0,2.5,36822,17721,13.1,37.2,31.7,18.0,78.7,10.1,3.1,23.5,27.8,18.5,553,11035,1029,1412,1796,154,17,435
01077,AL,Lauderdale,8.9,13.9,14.7,36.4,11.1,8.5,93.7,6.3,91.7,5.9,1.3,1.5,,,8.4,30.0,34.1,27.5,73.2,11.1,11.6,18.5,16.0,13.3,3028,73472,6507,6974,9747,483,352,2217
01079,AL,Lawrence,7.4,18.6,20.8,39.8,11.2,1.8,98.9,1.1,84.5,7.9,0.4,7.2,,,13.5,36.0,36.9,13.7,73.2,2.8,7.7,19.2,22.7,19.5,1107,26133,1921,3827,3765,250,85,810
01081,AL,Lee,8.6,20.8,27.2,36.2,7.2,2.9,93.0,7.0,71.7,22.5,2.7,4.7,42289,20185,5.6,23.7,40.5,30.2,75.3,4.4,6.8,27.3,23.0,9.8,6411,117060,10027,8851,24752,1464,431,4829
01083,AL,Limestone,9.8,15.6,23.4,34.9,9.1,3.3,92.8,7.2,84.0,12.5,1.0,2.7,43284,24694,9.2,24.3,35.3,31.2,73.3,2.2,6.8,14.0,9.2,12.6,4071,67916,6675,6168,6846,336,248,2986
01085,AL,Lowndes,5.9,13.0,21.1,31.8,8.7,7.0,90.7,9.3,49.2,50.8,0.0,0.0,,,9.4,44.6,23.4,22.5,53.6,3.7,17.2,25.9,31.2,19.5,250,8193,484,1192,1585,78,43,134
01087,AL,Macon,8.8,11.9,17.0,43.3,11.3,4.8,89.0,11.0,21.1,76.1,1.0,1.7,27236,15628,10.1,28.8,43.5,17.6,55.5,10.8,13.1,24.7,39.8,16.6,833,16270,1433,1707,2532,319,105,462
01089,AL,Madison,12.4,21.7,30.6,33.6,8.9,3.7,90.4,9.6,74.7,18.3,3.4,4.8,56266,26700,3.7,14.5,33.3,48.5,81.7,6.3,6.6,13.6,14.3,10.1,21178,266683,33094,19629,26404,3031,1391,17303
01091,AL,Marengo,6.2,8.2,22.0,35.8,10.1,5.2,94.9,5.1,61.1,38.2,0.0,0.6,,,7.9,44.5,34.0,13.5,46.6,2.2,17.0,24.2,30.3,22.1,489,15560,970,2490,2731,148,83,228
01093,AL,Marion,8.7,18.1,14.8,39.9,13.1,6.9,96.7,3.3,90.4,7.5,1.2,0.9,25294,18155,19.1,33.6,40.0,7.3,70.5,7.6,12.8,21.4,29.7,22.7,1085,23925,2073,3753,3548,314,135,765
01095,AL,Marshall,9.3,10.6,18.5,41.1,10.2,6.5,96.0,4.0,96.2,0.4,0.7,3.1,33702,20165,10.5,29.5,40.9,19.1,69.0,6.8,9.5,18.2,29.8,14.6,3405,71065,6620,7624,9480,1016,322,2350
01097,AL,Mobile,9.8,14.8,20.3,38.7,8.4,5.1,91.7,8.3,65.7,30.7,1.4,2.7,34880,22159,7.5,33.8,38.1,20.5,70.3,8.7,10.8,18.1,21.9,13.1,18003,313103,30686,30180,41583,3868,1901,12648
01099,AL,Monroe,7.0,11.0,13.3,31.0,12.1,6.6,92.5,7.5,64.5,32.5,0.0,3.0,,,5.9,49.2,30.3,14.6,58.6,11.9,21.8,31.5,17.0,12.7,587,16842,1179,1572,3888,100,128,344
01101,AL,Montgomery,10.9,21.9,30.4,36.0,8.6,3.4,86.6,13.4,47.7,48.6,1.5,3.1,42760,22346,4.6,22.0,37.6,35.8,73.6,4.2,10.6,22.0,18.2,14.9,12180,170803,18656,18568,27424,2181,1275,8963
01103,AL,Morgan,9.7,13.7,19.2,36.7,11.3,4.7,94.3,5.7,87.6,8.8,1.3,3.2,39809,22368,6.7,30.8,35.7,26.8,73.9,6.0,7.8,15.3,22.9,13.4,5144,91782,8933,9002,10292,1166,399,3799
01105,AL,Perry,7.9,21.2,17.5,40.7,19.0,5.1,92.2,7.8,46.1,50.0,3.1,0.8,24110,14101,7.6,61.8,12.8,17.8,35.0,4.4,28.5,31.4,41.9,27.8,326,7740,612,1415,1594,116,79,114
01107,AL,Pickens,8.9,16.9,21.6,34.3,11.2,4.7,95.0,5.0,69.7,30.3,0.0,0.0,,,11.1,42.7,29.4,16.8,61.0,7.6,11.3,23.6,41.2,21.5,815,15580,1389,2312,2543,331,91,497
01109,AL,Pike,7.9,15.6,18.3,38.9,10.6,3.2,91.6,8.4,76.0,21.4,0.6,2.1,33153,18356,10.3,32.0,33.7,24.0,76.1,2.2,22.7,27.9,14.9,12.1,1135,26596,2090,2323,5351,168,255,864
01111,AL,Randolph,9.7,13.4,14.4,42.7,10.2,7.0,94.0,6.0,76.8,19.9,1.1,2.6,29961,20044,10.9,28.6,37.5,23.0,65.2,3.5,8.6,19.0,23.6,13.0,884,17573,1705,1578,2298,206,75,576
01113,AL,Russell,14.0,34.2,32.3,28.3,7.0,1.5,84.2,15.8,57.0,38.8,3.3,2.1,33856,19445,7.5,24.7,42.4,25.4,70.3,4.7,9.4,20.7,24.2,16.1,4407,42105,5898,4848,6251,1058,410,3099
01115,AL,St. Clair,9.9,14.4,19.6,41.6,8.5,3.5,95.0,5.0,92.6,5.6,0.4,1.6,,,9.0,29.9,45.0,16.1,67.2,13.6,10.4,15.7,23.4,15.5,3777,65890,6526,7464,7557,853,378,2539
01117,AL,Shelby,8.6,13.4,21.7,35.0,8.6,5.2,93.0,7.0,86.3,11.1,1.0,1.7,46756,32116,5.2,19.5,34.7,40.5,80.9,5.6,4.4,8.5,15.4,8.9,7255,153227,13159,10504,10045,1115,315,5870
01119,AL,Sumter,6.0,15.8,26.1,27.0,11.6,2.8,91.0,9.0,40.5,57.6,0.0,1.9,34549,13116,5.9,49.7,25.8,18.6,71.9,5.9,10.6,45.1,20.7,20.6,377,10648,644,1555,3405,78,40,271
01121,AL,Talladega,9.3,12.5,17.2,43.2,8.4,6.0,91.6,8.4,71.8,26.5,0.6,1.6,28519,18723,10.2,35.0,39.7,15.1,66.8,8.4,10.4,21.6,25.3,17.9,3217,63246,5853,8089,9746,785,321,2148
01123,AL,Tallapoosa,10.2,10.6,20.8,39.2,10.3,6.7,91.3,8.7,82.9,16.8,0.0,0.2,32788,21168,11.3,25.3,38.2,25.2,61.0,11.6,10.0,20.2,25.8,14.9,1499,32304,3306,3415,4616,384,149,915
01125,AL,Tuscaloosa,6.7,10.5,19.0,38.6,9.7,5.7,93.4,6.6,71.1,27.5,0.5,1.1,36498,20954,9.7,29.2,37.6,23.5,66.4,7.9,10.6,19.5,21.3,9.5,5904,158327,10654,11430,23445,1247,623,3921
01127,AL,Walker,9.5,8.1,14.3,45.3,11.3,5.6,95.5,4.5,90.1,5.6,1.0,4.1,30063,18671,13.7,43.3,33.0,10.0,62.6,7.5,17.2,22.6,38.3,23.2,2443,51277,4875,8515,8319,929,416,1529
01129,AL,Washington,6.7,6.4,17.7,50.5,10.3,4.3,97.5,2.5,71.2,22.3,2.1,5.6,34698,19783,8.8,40.3,38.2,12.7,66.7,10.9,19.2,18.4,26.3,22.2,427,13012,876,2173,1806,111,81,285
01131,AL,Wilcox,6.3,14.9,14.3,33.3,18.7,4.4,92.0,8.0,44.0,56.0,0.0,0.0,32115,13740,12.8,46.9,25.1,15.2,36.3,2.2,20.8,37.8,21.3,17.1,248,8361,525,1037,2290,51,50,90
01133,AL,Winston,8.2,14.3,15.5,36.7,9.5,7.7,96.7,3.3,97.1,0.4,0.5,2.1,24323,17235,15.0,35.2,36.7,13.1,56.8,8.6,15.3,20.0,34.3,24.3,760,19022,1560,3282,2696,261,116,432
02000,AK,Alaska,13.1,27.9,28.4,32.3,4.8,2.3,87.2,12.8,77.9,5.5,4.7,13.4,50084,30954,4.0,24.5,45.2,26.3,80.9,5.9,5.1,10.1,15.6,9.4,50194,528564,69323,38120,41035,7735,2510,40624
02010,AK,Aleutian Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02013,AK,Aleutians East,3.8,12.8,22.0,35.8,4.6,3.7,91.7,8.3,55.0,10.1,3.7,31.2,,,4.6,31.2,42.2,22.0,96.5,8.5,5.9,16.9,5.9,6.2,85,2895,109,163,441,5,5,82
02016,AK,Aleutians West,6.5,24.3,42.0,23.6,0.7,0.0,93.4,6.6,66.0,8.7,8.7,22.9,60114,27583,3.3,44.9,35.3,16.5,98.5,8.4,3.2,9.7,18.0,5.9,267,4445,288,225,371,40,7,263
