CountyId,AccommodationFood,AdministrativeSupportWaste,AgricultureForestryFishingHunting,AllSectors,ArtsEntertainmentRecreation,BDG25,Construction,Education,FinanceInsurance,GDPPerCapita,HealthcareSocialAssistance,Income,IndustriesNotClassified,Information,Management,Manufacturing,MiningQuarryingOilGas,OtherServices,PopulationDensity,Poverty,ProfessionalScientificTechnical,RealEstate,RetailTrade,SubstanceAbuse,TransportationWarehousing,Unemployment,Utilities,WholesaleTrade
36061,8098479.0,8600947.0,4570.0,239340377.0,4428532.0,388043.0,3140580.0,8125035.0,88236433.0,62498.0,15533815.0,75136,18161.0,22283045.0,14888357.0,916438.0,16638.0,6356152.0,66940.1,17.6,37127729.0,5961267.0,5944852.0,14.1,868000.0,4.9,801078.0,7990269.0
51013,426297.0,499230.0,NA,10294471.0,116464.0,58068.0,145992.0,222029.0,521570.0,62018.0,507534.0,104354,1097.0,638732.0,374271.0,8282.0,NA,904164.0,7323.3,7.1,4564843.0,291028.0,299691.0,6.1,517069.0,2.6,NA,110959.0
51610,23503.0,35499.0,NA,475499.0,3775.0,3123.0,55122.0,7054.0,12536.0,59088.0,72723.0,122092,161.0,28281.0,4101.0,4050.0,NA,38954.0,5225.8,3.4,128291.0,9169.0,42274.0,20.1,5035.0,2.7,NA,4971.0
06041,303790.0,266233.0,1408.0,6282741.0,97809.0,59435.0,433682.0,211494.0,599752.0,56791.0,970146.0,99868,2816.0,606311.0,223658.0,136321.0,NA,219653.0,475.7,7.5,1070387.0,238944.0,538110.0,14.1,61681.0,3.5,42659.0,255439.0
51510,212482.0,465223.0,NA,5157129.0,28277.0,33951.0,126887.0,81897.0,265971.0,54608.0,424670.0,89177,562.0,211287.0,107356.0,52851.0,NA,788330.0,8452.0,9.1,1890493.0,93630.0,253658.0,8.1,73000.0,2.9,NA,66340.0
08097,152258.0,35915.0,362.0,667384.0,80585.0,5606.0,41419.0,17161.0,27738.0,51814.0,49626.0,76663,187.0,19876.0,23861.0,7624.0,NA,44538.0,15.3,7.0,53411.0,48711.0,54352.0,14.1,7241.0,2.7,NA,951.0
35028,6836.0,36181.0,NA,1060002.0,1057.0,3168.0,7328.0,654.0,18219.0,51044.0,41617.0,107126,NA,1303.0,NA,1903.0,NA,5599.0,167.8,4.0,920613.0,3008.0,13708.0,18.1,237.0,4.5,NA,1739.0
51600,75843.0,90635.0,NA,1748776.0,13354.0,5142.0,117197.0,23331.0,90060.0,44345.0,166465.0,99671,NA,34836.0,14998.0,6458.0,NA,109793.0,3406.9,7.3,700724.0,14256.0,247416.0,14.1,14715.0,3.1,NA,19306.0
34019,64644.0,91188.0,3662.0,2756028.0,19752.0,25972.0,250669.0,10214.0,320051.0,50349.0,363722.0,102797,222.0,108525.0,356151.0,211894.0,NA,54922.0,283.7,5.0,500499.0,22939.0,222763.0,8.1,25240.0,4.1,10691.0,118280.0
48033,NA,NA,NA,620.0,NA,103.0,NA,NA,NA,50042.0,NA,63358,NA,NA,NA,NA,NA,NA,0.8,10.2,NA,NA,NA,0.0,NA,3.4,NA,NA
24031,692200.0,1878081.0,3689.0,26768931.0,196217.0,185755.0,1577251.0,501758.0,2554372.0,49038.0,3547502.0,98314,3447.0,1524749.0,1791949.0,652323.0,3952.0,1410620.0,1762.5,7.5,6822565.0,888520.0,1481993.0,6.1,111035.0,3.4,56182.0,1070526.0
34027,429459.0,1131417.0,1292.0,22096123.0,306082.0,103145.0,760682.0,245846.0,2355971.0,48814.0,1988016.0,101754,501.0,541252.0,3843778.0,922874.0,NA,348934.0,1002.6,5.3,4275987.0,476537.0,924069.0,10.1,386341.0,4.2,47893.0,3095916.0
09001,748503.0,1492691.0,7102.0,35199773.0,371644.0,162883.0,882213.0,574179.0,10975592.0,48721.0,3472097.0,86297,2793.0,1468374.0,2588981.0,2636545.0,5636.0,609170.0,1410.3,9.0,4004521.0,483889.0,1689085.0,12.1,575653.0,5.2,137701.0,2473404.0
06077,274373.0,376287.0,64057.0,7360017.0,62133.0,54524.0,533290.0,140276.0,457826.0,21332.0,1395273.0,53341,599.0,116868.0,98320.0,994377.0,10789.0,196999.0,402.8,17.5,234030.0,104290.0,730753.0,18.1,829426.0,7.7,24534.0,715517.0
24027,211229.0,654076.0,14039.0,10513964.0,77255.0,62648.0,671662.0,95995.0,606749.0,48172.0,729074.0,110224,988.0,442247.0,664872.0,321788.0,NA,286147.0,983.3,5.2,3627542.0,244896.0,454397.0,10.1,234243.0,3.4,NA,1158258.0
36119,707031.0,969463.0,9411.0,25434548.0,502582.0,155991.0,1948312.0,710340.0,3293800.0,47984.0,4591506.0,85688,3544.0,720957.0,2650025.0,770158.0,1193.0,786094.0,2133.6,10.1,2246981.0,524107.0,1549655.0,6.1,510067.0,4.2,397258.0,2542064.0
34035,247771.0,573016.0,774.0,15908436.0,75800.0,66482.0,406359.0,140607.0,1374842.0,47803.0,1086345.0,99059,1084.0,2190434.0,2229676.0,1819414.0,2009.0,229427.0,976.4,5.5,2769855.0,97699.0,570687.0,8.1,239956.0,4.4,82063.0,1770618.0
25019,55077.0,35840.0,NA,310578.0,17144.0,1997.0,53229.0,3320.0,8410.0,47331.0,28437.0,86014,NA,5003.0,4598.0,2989.0,NA,14496.0,199.1,7.3,14074.0,10698.0,46288.0,12.1,7430.0,1.8,NA,1632.0
51107,329783.0,498724.0,1962.0,8567794.0,253665.0,77610.0,786825.0,71772.0,304567.0,46565.0,554318.0,125900,933.0,1207790.0,245120.0,516739.0,NA,264178.0,326.2,3.7,2089504.0,102291.0,538589.0,6.1,457928.0,3.2,8254.0,317640.0
02185,42926.0,NA,NA,442674.0,1049.0,653.0,NA,NA,NA,46457.0,22270.0,70834,NA,3184.0,NA,NA,NA,1913.0,0.1,12.6,4796.0,8635.0,7344.0,8.1,37231.0,6.9,NA,44440.0
15005,NA,NA,NA,NA,NA,8.0,NA,NA,NA,45515.0,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,24.1,NA,NA,NA,NA
11001,1910266.0,1366074.0,NA,38445917.0,568679.0,105880.0,639641.0,2634025.0,3040944.0,45290.0,3959232.0,73115,1846.0,2642937.0,969356.0,52509.0,566.0,5912008.0,9316.4,17.7,12460755.0,767734.0,635359.0,20.1,220211.0,6.5,279486.0,384261.0
51075,8498.0,17666.0,416.0,1364700.0,10685.0,3924.0,49324.0,4287.0,736169.0,45039.0,16780.0,86257,NA,902.0,379647.0,6376.0,NA,26478.0,59.3,7.4,19258.0,9872.0,16223.0,12.1,NA,3.6,NA,26606.0
25021,564267.0,809561.0,1508.0,18770873.0,354321.0,134172.0,1422220.0,539038.0,2873807.0,44692.0,2648387.0,93187,2596.0,968273.0,845248.0,1183402.0,10041.0,507672.0,1627.5,7.1,2212761.0,520308.0,1368750.0,16.1,367642.0,3.4,130974.0,1440097.0
08035,220887.0,268786.0,1671.0,6566481.0,45421.0,74754.0,476309.0,88554.0,678111.0,43634.0,625975.0,109926,1443.0,899323.0,330469.0,985882.0,37930.0,149440.0,209.2,3.4,934719.0,72704.0,509592.0,10.1,44222.0,2.8,19115.0,175928.0
