City,State,Population,Latitude,Longitude
Fairbanks ,AK,35132,64.8377778,-147.7163889
Lewiston ,ME,35131,44.100351,-70.21477639999999
San Dimas ,CA,35043,34.1066756,-117.8067257
Los Banos ,CA,34968,37.0582786,-120.8499151
Burleson ,TX,34908,32.5420821,-97.3208492
Hollister ,CA,34877,36.8524545,-121.4016021
San Juan Capistrano ,CA,34793,33.5019027,-117.6627655
Peachtree City ,GA,34788,33.3968557,-84.59634319999999
Leavenworth ,KS,34729,39.3111112,-94.9224637
Brunswick ,OH,34711,41.2381096,-81.8418006
Menomonee Falls,WI,34607,43.1788967,-88.1173132
Lufkin ,TX,34530,31.3382406,-94.729097
Marysville ,WA,34482,48.0517637,-122.1770818
Marana,AZ,34466,32.436381,-111.2224422
Beverly Hills ,CA,34445,34.0736204,-118.4003563
Columbia ,TN,34402,35.6150716,-87.0352831
La Porte ,TX,34274,29.6657838,-95.0193728
Wildwood ,MO,34195,38.582831,-90.6629047
Woodridge,IL,34130,41.7469749,-88.0503406
Holland ,MI,34076,42.7875235,-86.1089301
Friendswood ,TX,33979,29.5293998,-95.2010447
San Juan ,TX,33970,26.1892409,-98.15528719999999
Northbrook,IL,33936,42.1275267,-87.82895479999999
Hilton Head Island,SC,33913,32.216316,-80.752608
Stow ,OH,33899,41.1595005,-81.44038979999999
Gahanna ,OH,33892,40.0192307,-82.8793446
Bay City ,MI,33874,43.5944677,-83.8888647
Grove City ,OH,33829,39.88145189999999,-83.0929644
Pleasant Grove ,UT,33798,40.3641184,-111.73854
Seaside ,CA,33797,36.6149217,-121.822098
Delaware ,OH,33719,40.2986724,-83.067965
Mundelein,IL,33717,42.263079,-88.00396529999999
Northglenn ,CO,33697,39.8961821,-104.9811468
Rome ,NY,33673,43.2128473,-75.4557303
Reynoldsburg ,OH,33657,39.9547861,-82.81211909999999
Dalton ,GA,33648,34.7698021,-84.9702228
La Verne ,CA,33623,34.1008426,-117.7678355
Cottage Grove ,MN,33623,44.8277446,-92.9438218
Rosenberg ,TX,33595,29.5571825,-95.80856229999999
East Palo Alto ,CA,33575,37.4688273,-122.1410751
Lynnwood ,WA,33572,47.8209301,-122.3151313
Jackson ,MI,33518,42.245869,-84.40134619999999
Oak Creek ,WI,33482,42.8858503,-87.8631362
Twentynine Palms ,CA,33480,34.1355582,-116.0541689
Shakopee ,MN,33455,44.7973962,-93.5272861
Pekin ,IL,33430,40.5675388,-89.640658
Inver Grove Heights ,MN,33383,44.8480218,-93.04271530000001
Weslaco ,TX,33354,26.1595194,-97.9908366
Winter Haven ,FL,33353,28.0222435,-81.7328567
Elk Grove Village,IL,33320,42.0039178,-87.9703461
Grants Pass ,OR,33217,42.4390069,-123.3283925
Manitowoc ,WI,33169,44.0886059,-87.657584
Apex,NC,33075,35.732652,-78.85028559999999
Merrillville,IN,33057,41.4828144,-87.33281389999999
New Iberia ,LA,32959,30.0035365,-91.81872849999999
Petersburg ,VA,32916,37.2279279,-77.40192669999999
Richmond ,KY,32895,37.7478572,-84.2946539
Pleasant Hill ,CA,32862,37.9479786,-122.0607963
St. Charles ,IL,32829,41.9141945,-88.3086867
Marion ,IA,32821,42.033279,-91.5968958
Roseville ,MN,32815,45.0060767,-93.15661070000002
Apache Junction ,AZ,32776,33.4150485,-111.5495777
Plant City ,FL,32761,28.0186323,-82.1128641
Richfield ,MN,32728,44.8832982,-93.28300209999999
Englewood ,CO,32669,39.6477653,-104.9877597
Winter Springs ,FL,32667,28.6988853,-81.30812259999999
Beaumont ,CA,32663,33.9294606,-116.977248
Goshen ,IN,32630,41.5822716,-85.8344383
Long Branch ,NJ,32622,40.30427780000001,-73.9923596
Massillon ,OH,32613,40.7967244,-81.52150929999999
North Chicago ,IL,32608,42.325578,-87.8411818
Oviedo ,FL,32606,28.669997,-81.20812029999999
Bettendorf ,IA,32584,41.56084999999999,-90.48344
Monroe ,NC,32543,34.9854275,-80.5495112
Houma ,LA,32512,29.5957696,-90.71953479999999
Eastpointe ,MI,32497,42.4683698,-82.9554746
Prattville ,AL,32480,32.4640245,-86.4596966
Michigan City ,IN,32405,41.70753939999999,-86.8950297
Fairborn ,OH,32366,39.8208925,-84.01937889999999
Watertown ,MA,32365,42.3709299,-71.1828321
Clovis ,NM,32352,34.4047987,-103.2052272
Bothell ,WA,32307,47.76095,-122.2055883
Ocoee ,FL,32290,28.5691677,-81.5439619
Danville ,IL,32248,40.124481,-87.6300207
Nacogdoches ,TX,32205,31.6035129,-94.6554874
Greenacres ,FL,32174,26.6276276,-80.1353896
Franklin ,MA,32148,42.0834313,-71.396725
Butte-Silver Bow,MT,32119,46.0038232,-112.5347776
Hopkinsville ,KY,32076,36.8656008,-87.4886186
Oakley ,CA,32035,37.9974219,-121.7124536
Socorro ,TX,32007,31.654557,-106.3033145
Naugatuck,CT,31931,41.485921,-73.0506972
Upper Arlington ,OH,31878,39.99450840000001,-83.0624078
Glendale Heights,IL,31847,41.91030680000001,-88.0717353
Norristown,PA,31843,40.121497,-75.3399048
Laguna Hills ,CA,31838,33.5916433,-117.6986604
Olive Branch ,MS,31830,34.9617604,-89.8295315
Lewiston ,ID,31764,46.4004089,-117.0011889
Bangor ,ME,31756,44.80118210000001,-68.77781379999999
Kennesaw ,GA,31628,34.0234337,-84.6154897
Parkersburg ,WV,31611,39.2667418,-81.56151349999999
Florence ,SC,31570,34.1954331,-79.7625625
Bethel Park,PA,31562,40.3275697,-80.0394977
Spanish Fork ,UT,31538,40.114955,-111.654923
Mount Vernon ,WA,31513,48.421216,-122.3340474
Oswego,IL,31504,41.6828074,-88.35145960000001
Highland Park ,IL,31449,42.1816918,-87.8003437
Oregon City ,OR,31404,45.3573429,-122.6067583
Brighton ,CO,31380,39.9852617,-104.8205283
Jacksonville ,AR,31351,34.8662005,-92.1101458
Lawndale ,CA,31346,33.887237,-118.3525744
Leawood ,KS,31342,38.966673,-94.6169012
North Olmsted ,OH,31319,41.4156025,-81.9234726
Burien ,WA,31316,47.4668384,-122.3405305
North Tonawanda ,NY,31222,43.038668,-78.8642033
McMinnville ,OR,31185,45.21011619999999,-123.1987163
Galesburg ,IL,31181,40.94781580000001,-90.3712395
Phenix City ,AL,31125,32.4709761,-85.0007653
Douglasville ,GA,31035,33.7514966,-84.7477136
Lauderdale Lakes ,FL,31004,26.1664736,-80.2083806
Juneau,AK,30988,58.3019444,-134.4197222
Wheat Ridge ,CO,30894,39.766098,-105.0772063
Vestavia Hills ,AL,30892,33.4487183,-86.7877668
Deer Park ,TX,30890,29.7052284,-95.1238204
Port Huron ,MI,30869,42.9708634,-82.42491419999999
West Lafayette ,IN,30847,40.4258686,-86.90806549999999
Walnut ,CA,30744,34.0202894,-117.8653386
San Pablo ,CA,30729,37.9621457,-122.3455263
Copperas Cove ,TX,30710,31.124062,-97.90307849999999
Granite City ,IL,30703,38.7014389,-90.14871989999999
Schertz ,TX,30669,29.5521737,-98.269734
Rochester ,NH,30654,43.304526,-70.97561859999999
Walla Walla ,WA,30643,46.0645809,-118.3430209
Gurnee,IL,30608,42.3702996,-87.90201859999999
Myrtle Beach ,SC,30596,33.6890603,-78.8866943
Chicago Heights ,IL,30586,41.506146,-87.6355995
Liberty ,MO,30568,39.2461138,-94.4191177
Shawnee ,OK,30562,35.3272928,-96.9253004
Oak Park ,MI,30547,42.4594803,-83.18270509999999
Westlake ,OH,30546,41.4553232,-81.9179173
Fair Lawn,NJ,30521,40.9403762,-74.1318096
Jeffersonville ,IN,30479,38.2775702,-85.7371847
Hobbs ,NM,30476,32.7026116,-103.1360403
Newnan ,GA,30474,33.3806716,-84.79965729999999
Saratoga ,CA,30445,37.2638324,-122.0230146
Andover ,MN,30442,45.2332984,-93.29134049999999
Valparaiso ,IN,30429,41.4730948,-87.0611412
Kearney ,NE,30417,40.69933030000001,-99.0816784
Algonquin,IL,30352,42.1655801,-88.29424929999999
University Place ,WA,30345,47.2356536,-122.5504041
Royal Palm Beach,FL,30312,26.7083984,-80.2306019
Gloucester ,MA,30243,42.6159285,-70.6619888
Marion ,IN,30212,40.5583739,-85.6591442
Hinesville ,GA,30152,31.846877,-81.5959453
Tooele ,UT,30120,40.53077760000001,-112.29828
Menlo Park ,CA,30087,37.4529598,-122.1817252
Texarkana ,AR,30087,33.4417915,-94.0376881
La Vergne ,TN,30034,36.0156178,-86.5819394
Ballwin ,MO,30033,38.5950532,-90.54623389999999
East Chicago ,IN,29978,41.63920239999999,-87.4547635
Wenatchee ,WA,29898,47.4234599,-120.3103494
West Bend ,WI,29894,43.4252776,-88.1834277
Cleburne ,TX,29889,32.3476438,-97.38668369999999
Newark ,DE,29886,39.6837226,-75.74965720000002
Burton ,MI,29845,42.99947179999999,-83.6163423
Ithaca ,NY,29763,42.4439614,-76.5018807
Lake in the Hills,IL,29698,42.18169080000001,-88.33036179999999
Mason ,OH,29682,39.3600586,-84.309939
Poughkeepsie ,NY,29654,41.7003713,-73.9209701
Morgantown ,WV,29642,39.629526,-79.95589679999999
Bowling Green ,OH,29542,41.3747744,-83.6513229
Madison Heights ,MI,29531,42.4858692,-83.1052028
Jamestown ,NY,29463,42.0970023,-79.23532589999999
Williamsport ,PA,29456,41.2411897,-77.00107860000001
Benton ,AR,29452,34.5645371,-92.586828
Westfield,NJ,29450,40.6589912,-74.3473717
Aiken ,SC,29434,33.5604168,-81.7195533
Cooper City ,FL,29422,26.0573112,-80.271716
Goleta ,CA,29404,34.4358294,-119.8276389
Alton ,IL,29393,38.8906038,-90.1842764
Winter Garden ,FL,29385,28.5652787,-81.58618469999999
Alabaster ,AL,29352,33.2442813,-86.8163773
Helena ,MT,29351,46.5883707,-112.0245054
Gallatin ,TN,29343,36.3883809,-86.4466599
North Royalton ,OH,29331,41.3136644,-81.7245739
Los Gatos,CA,29320,37.2358078,-121.9623751
Sanford ,NC,29284,35.4798757,-79.1802994
Elmira ,NY,29271,42.0897965,-76.8077338
Lawrenceville ,GA,29258,33.9562149,-83.9879625
Aventura ,FL,29254,25.9564812,-80.1392121
Cookeville ,TN,29234,36.162839,-85.5016423
