rowid,pl_hostname,pl_letter,pl_pnum
1,11 Com,b,1
2,11 UMi,b,1
3,14 And,b,1
4,14 Her,b,1
5,16 Cyg B,b,1
6,18 Del,b,1
7,1RXS J160929.1-210524,b,1
8,24 Sex,b,2
9,24 Sex,c,2
10,2MASS J01225093-2439505,b,1
11,2MASS J02192210-3925225,b,1
12,2MASS J04414489+2301513,b,1
13,2MASS J12073346-3932539,b,1
14,2MASS J19383260+4603591,b,1
15,2MASS J21402931+1625183 A,b,1
16,2MASS J22362452+4751425,b,1
17,30 Ari B,b,1
18,4 UMa,b,1
19,42 Dra,b,1
20,47 UMa,b,3
21,47 UMa,c,3
22,47 UMa,d,3
23,51 Eri,b,1
24,51 Peg,b,1
25,55 Cnc,b,5
26,55 Cnc,c,5
27,55 Cnc,d,5
28,55 Cnc,e,5
29,55 Cnc,f,5
30,6 Lyn,b,1
31,61 Vir,b,3
32,61 Vir,c,3
33,61 Vir,d,3
34,7 CMa,b,1
35,70 Vir,b,1
36,75 Cet,b,1
37,8 UMi,b,1
38,81 Cet,b,1
39,91 Aqr,b,1
40,AB Pic,b,1
41,BD+14 4559,b,1
42,BD+15 2375,b,1
43,BD+15 2940,b,1
44,BD+20 1790,b,1
45,BD+20 2457,b,2
46,BD+20 2457,c,2
47,BD+20 274,b,1
48,BD+20 594,b,1
49,BD+48 738,b,1
50,BD+49 828,b,1
51,BD-06 1339,b,2
52,BD-06 1339,c,2
53,BD-08 2823,b,2
54,BD-08 2823,c,2
55,BD-10 3166,b,1
56,BD-11 4672,b,1
57,BD-13 2130,b,1
58,BD-17 63,b,1
59,CFBDSIR J145829+101343,b,1
60,CHXR 73,b,1
61,CT Cha,b,1
62,CoRoT-1,b,1
63,CoRoT-10,b,1
64,CoRoT-11,b,1
65,CoRoT-12,b,1
66,CoRoT-13,b,1
67,CoRoT-14,b,1
68,CoRoT-16,b,1
69,CoRoT-17,b,1
70,CoRoT-18,b,1
71,CoRoT-19,b,1
72,CoRoT-2,b,1
73,CoRoT-20,b,1
74,CoRoT-22,b,1
75,CoRoT-23,b,1
76,CoRoT-24,b,2
77,CoRoT-24,c,2
78,CoRoT-25,b,1
79,CoRoT-26,b,1
80,CoRoT-27,b,1
81,CoRoT-28,b,1
82,CoRoT-29,b,1
83,CoRoT-3,b,1
84,CoRoT-4,b,1
85,CoRoT-5,b,1
86,CoRoT-6,b,1
87,CoRoT-7,b,2
88,CoRoT-7,c,2
89,CoRoT-8,b,1
90,CoRoT-9,b,1
91,DENIS-P J082303.1-491201,b,1
92,DH Tau,b,1
93,DP Leo,b,1
94,EPIC 211351816,b,1
95,EPIC 211391664,b,1
96,EPIC 211822797,b,1
97,EPIC 211913977,b,1
98,EPIC 211969807,b,1
99,EPIC 211970147,b,1
100,EPIC 211990866,b,1
101,FU Tau,b,1
102,Fomalhaut,b,1
103,GJ 1132,b,1
104,GJ 1214,b,1
105,GJ 15 A,b,1
106,GJ 163,b,3
107,GJ 163,c,3
108,GJ 163,d,3
109,GJ 179,b,1
110,GJ 3021,b,1
111,GJ 317,b,1
112,GJ 328,b,1
113,GJ 3293,b,2
114,GJ 3293,c,2
115,GJ 3341,b,1
116,GJ 3470,b,1
117,GJ 3634,b,1
118,GJ 3998,b,2
119,GJ 3998,c,2
120,GJ 433,b,1
121,GJ 436,b,1
122,GJ 504,b,1
123,GJ 536,b,1
124,GJ 581,b,3
125,GJ 581,c,3
126,GJ 581,e,3
127,GJ 649,b,1
128,GJ 667 C,b,5
129,GJ 667 C,c,5
130,GJ 667 C,e,5
131,GJ 667 C,f,5
132,GJ 667 C,g,5
133,GJ 674,b,1
134,GJ 676 A,b,4
135,GJ 676 A,c,4
136,GJ 676 A,d,4
137,GJ 676 A,e,4
138,GJ 687,b,1
139,GJ 832,b,2
140,GJ 832,c,2
141,GJ 849,b,1
142,GJ 86,b,1
143,GJ 876,b,4
144,GJ 876,c,4
145,GJ 876,d,4
146,GJ 876,e,4
147,GQ Lup,b,1
148,GSC 06214-00210,b,1
149,GU Psc,b,1
150,HAT-P-1,b,1
151,HAT-P-11,b,1
152,HAT-P-12,b,1
153,HAT-P-13,b,2
154,HAT-P-13,c,2
155,HAT-P-14,b,1
156,HAT-P-15,b,1
157,HAT-P-16,b,1
158,HAT-P-17,b,2
159,HAT-P-17,c,2
160,HAT-P-18,b,1
161,HAT-P-19,b,1
