Display Name,BayerFlamsteed,Gliese,Proper Name,Spectral Class
Sol,Sol,,Sol,G2V
Proxima Centauri,,Gl 551,Proxima Centauri,M5Ve
Rigel Kentaurus B,Alpha 2 Centauri,Gl 559 B,Rigel Kentaurus B,K1V
Rigel Kentaurus A,Alpha 1 Centauri,Gl 559,Rigel Kentaurus A,G2V
Barnard's Star,,Gl 699,Barnard's Star,sdM4
Gl 406,,Gl 406,,M6
Lalande 21185,,Gl 411,Lalande 21185,M2V
Gl 65,,Gl 65,,dM5.5e
Gl 65 B,,Gl 65 B,,dM5.5e
Gl 244 B,,Gl 244 B,,DA2
Sirius,9 Alpha Canis Majoris,Gl 244,Sirius,A0m...
Gl 729,,Gl 729,,M3.5Ve
Gl 905,,Gl 905,,dM6 e
18 Epsilon Eridani,18 Epsilon Eridani,Gl 144,,K2V
Gl 447,,Gl 447,,M4.5V
Lacaille 9352,,Gl 887,Lacaille 9352,M2/M3V
Gl 866,,Gl 866,,M5 e
Gl 280 B,,Gl 280 B,,DA
Procyon,10 Alpha Canis Minoris,Gl 280,Procyon,F5IV-V
Gl 725 B,,Gl 725 B,,K5
61 Cygni,61 Cygni,Gl 820,,K5V
61 Cygni,61 Cygni,Gl 820 B,,K7V
Gl 15 B,,Gl 15 B,,M6 Ve
GJ 1111,,GJ 1111,,M6.5
Gl 15,,Gl 15,,M1V
52 Tau Ceti,52 Tau Ceti,Gl 71,,G8V
Gl 725,,Gl 725,,K5
Epsilon Indi,Epsilon Indi,Gl 845,,K5V
Luyten's Star,,Gl 273,Luyten's Star,M5
Kapteyn's Star,,Gl 191,Kapteyn's Star,M0V
Lacaille 8760,,Gl 825,Lacaille 8760,M1/M2V
Gl 860 B,,Gl 860 B,,M6 V
Krüger 60,,Gl 860,Krüger 60,M2V
Gl 234 B,,Gl 234 B,,
Gl 234,,Gl 234,,M4.5Ve
GJ 1061,,GJ 1061,,M4.5
Gl 473,,Gl 473,,dM5.5eJ
Gl 473 B,,Gl 473 B,,M7
Gl 563.2B,,Gl 563.2B,,M
BD-12°4523,,Gl 628,,M4
Gl 1,,Gl 1,,M2V
Van Maanen's Star,,Gl 35,Van Maanen's Star,DG
Hip 15689,,,,
Gl 83.1,,Gl 83.1,,dM8 e
NN 3522,,NN 3522,,k
NN 3618,,NN 3618,,m
NN 3622,,NN 3622,,M6.5
Gl 563.2,,Gl 563.2,,M
Gl 674,,Gl 674,,K5
Gl 687,,Gl 687,,M3.5Vvar
Gl 440,,Gl 440,,DC:
Hip 114110,,,,
GJ 1002,,GJ 1002,,M5-5.5
GJ 1245,,GJ 1245,,M5.5 V e
GJ 1245 B,,GJ 1245 B,,m
Gl 876,,Gl 876,,M5
Gl 412 B,,Gl 412 B,,M6 e
Gl 412,,Gl 412,,M2Vvar
Gl 388,,Gl 388,,M4.5Ve
Groombridge 1618,,Gl 380,Groombridge 1618,K8V
Hip 82725,,,,
Hip 85605,,,,
Gl 832,,Gl 832,,M1V
Gl 166 B,,Gl 166 B,,DA4
Gl 166 C,,Gl 166 C,,dM4.5e
40 Omicron 2 Eridani,40 Omicron 2 Eridani,Gl 166,,K1V
Gl 682,,Gl 682,,M5
Gl 873,,Gl 873,,M4.5Ve
Gl 702 B,,Gl 702 B,,K5 Ve
70 Ophiuchi,70 Ophiuchi,Gl 702,,K0V SB
Altair,53 Alpha Aquilae,Gl 768,Altair,A7IV-V
GJ 1116,,GJ 1116,,m
GJ 1116 B,,GJ 1116 B,,m
GJ 1005,,GJ 1005,,M:
NN 3379,,NN 3379,,M4
Gl 445,,Gl 445,,M4
BD+15°2620,,Gl 526,,M3V
Gl 169.1B,,Gl 169.1B,,DC5
Gl 169.1,,Gl 169.1,,
Hip 33226,,,,K:...
Hip 103039,,,,
Gl 402,,Gl 402,,M4:
Gl 644 B,,Gl 644 B,,
Gl 644 C,,Gl 644 C,,M7
Gl 754,,Gl 754,,M4.5
BD-03°1123,,Gl 205,,M1V
Gl 644,,Gl 644,,M3Ve
Gl 251,,Gl 251,,dM4
Gl 213,,Gl 213,,M5
BD-21°1377,,Gl 229,,M1/M2V
Gl 693,,Gl 693,,M5
61 Sigma Draconis,61 Sigma Draconis,Gl 764,,K0V
Gl 300,,Gl 300,,M4
Gl 752 B,,Gl 752 B,,dM5 e
Gl 285,,Gl 285,,M4.5Ve
Gl 570,,Gl 570,,K4V
Gl 588,,Gl 588,,M0
Gl 752,,Gl 752,,M3.5V
Gl 34 B,,Gl 34 B,,K7 V
36 Ophiuchi,36 Ophiuchi,Gl 663,,K1 Ve
24 Eta Cassiopeiae,24 Eta Cassiopeiae,Gl 34,,G0V SB
36 Ophiuchi,36 Ophiuchi,Gl 663 B,,K2:III:
Gl 664,,Gl 664,,K5V
Gl 908,,Gl 908,,M2V
NN 3323,,NN 3323,,m
GJ 1221,,GJ 1221,,DXP9
Gl 783 B,,Gl 783 B,,M3.5
82 Eridani,82 Eridani,Gl 139,,G8V
BD-11°3759,,Gl 555,,M4
Delta Pavonis,Delta Pavonis,Gl 780,,G5IV-Vvar
Gl 783,,Gl 783,,K2V
NN 3454,,NN 3454,,m
GJ 1128,,GJ 1128,,m
NN 3877,,NN 3877,,dM8
Gl 896 B,,Gl 896 B,,dM6 e
Gl 338,,Gl 338,,M0V
Hip 86961,,,,M2V:
Hip 86963,,,,M2V:
Gl 784,,Gl 784,,M0V
Gl 896,,Gl 896,,M6Ve
