id,name,total_pop,median_income,state_abbr
1,Alabama,4830620,43623,AL
2,Alaska,733375,72515,AK
4,Arizona,6641928,50255,AZ
5,Arkansas,2958208,41371,AR
6,California,38421464,61818,CA
8,Colorado,5278906,60629,CO
9,Connecticut,3593222,70331,CT
10,Delaware,926454,60509,DE
11,District of Columbia,647484,70848,DC
12,Florida,19645772,47507,FL
13,Georgia,10006693,49620,GA
15,Hawaii,1406299,69515,HI
16,Idaho,1616547,47583,ID
17,Illinois,12873761,57574,IL
18,Indiana,6568645,49255,IN
19,Iowa,3093526,53183,IA
20,Kansas,2892987,52205,KS
21,Kentucky,4397353,43740,KC
22,Louisiana,4625253,45047,LA
23,Maine,1329100,49331,ME
24,Maryland,5930538,74551,MD
25,Massachusetts,6705586,68563,MA
26,Michigan,9900571,49576,MI
27,Minnesota,5419171,61492,MN
28,Mississippi,2988081,39665,MS
29,Missouri,6045448,48173,MO
30,Montana,1014699,47169,MN
31,Nebraska,1869365,52997,NE
32,Nevada,2798636,51847,NV
33,New Hampshire,1324201,66779,NH
34,New Jersey,8904413,72093,NJ
35,New Mexico,2084117,44963,NM
36,New York,19673174,59269,NY
37,North Carolina,9845333,46868,NC
38,North Dakota,721640,57181,ND
39,Ohio,11575977,49429,OH
40,Oklahoma,3849733,46879,OK
41,Oregon,3939233,51243,OR
42,Pennsylvania,12779559,53599,PA
44,Rhode Island,1053661,56852,RI
45,South Carolina,4777576,45483,SC
46,South Dakota,843190,50957,SD
47,Tennessee,6499615,45219,TN
48,Texas,26538614,53207,TX
49,Utah,2903379,60727,UT
50,Vermont,626604,55176,VT
51,Virginia,8256630,65015,VA
53,Washington,6985464,61062,WA
54,West Virginia,1851420,41751,WV
55,Wisconsin,5742117,53357,WI
56,Wyoming,579679,58840,WY
72,Puerto Rico,3583073,19350,PR
